drug,generic_name,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23,pred_24,pred_25,pred_26,pred_27,pred_28,pred_29,pred_30,pred_31,pred_32,pred_33,pred_34,pred_35
5% Dextrose,glucose 50 mg/ml,glucose 50 mg/ml,glucose 50 mg/ml,dextrose 5%,dextrose 5%,5% dextrose,5% dextrose,dextrose 5% in water,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,5% dextrose,5% dextrose is a solution,5% dextrose,5% dextrose,5% dextrose,5% dextrose,5% dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,glucose 50 mg/ml,glucose 50 mg/ml,dextrose 5%,dextrose 5%,5% dextrose,dextrose,dextrose 5%
0.9% Sodium Chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,0.9% sodium chlor,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride,sodium chloride
Ciprofloxacin IV,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin,ciprofloxacin
Aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,acetaminophen,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin
Furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide
Heparin Dwell (1000 Units/mL),heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin
Prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine
Oxycodone-Acetaminophen,acetaminophen / oxycodone,oxycodone/acetaminophen,oxycodone/acetaminophen,oxycodone/acetaminophen,oxycodone/acetaminophen,oxycodone/acetaminophen,oxycodone/acetaminophen,oxycodone/acetaminophen,oxycodone-acetaminoph,oxycodone-acetaminoph,oxycodone-acetaminoph,oxycodone-acetaminoph,oxycodone-acetaminoph,oxycodone-acetaminoph,oxycodone acetaminophen,oxycodone-acetamin,oxycodone-acetamin,oxycodone acetaminop,oxycodone acetaminop,oxycodone-acetamin,oxycodone-acetamin,oxycodone-acetamin,oxycodone-acetaminoph,oxycodone-acetaminoph,oxycodone-acetaminoph,oxycodone-acetaminoph,oxycodone-acetaminoph,oxycodone-acetaminoph,oxycodone-acetaminoph,oxycodone/acetaminophen,oxycodone/acetaminophen,oxycodone/acetaminophen,oxycodone/acetaminophen,oxycodone acetaminophen,oxycodone acetaminophen,oxycodone acetaminophen
Diazepam,diazepam,diazepam,diazepam,diazepam,diazepam,diazepam,diazepam,diazepam,diazepam,diazepam,diazepam,diazepam,diazepam,diazepam,diazepam,diazepam,diazepam,diazepam,diazepam,diazepam,diazepam,diazepam,diazepam,diazepam,diazepam,diazepam,diazepam,diazepam,diazepam,diazepam,diazepam,diazepam,diazepam,diazepam,diazepam,diazepam
Simethicone,simethicone,simethicone,simethicone,simethicone,simethicone,simethicone,simethicone,simethicone,simethicone,simethicone,simethicone,simethicone,simethicone,simethicone,simethicone,simethicone,simethicone,"sure, i can help with that.",simethicone,simethicone,simethicone,simethicone,simethicone,simethicone,simethicone,simethicone,simethicone,simethicone,simethicone,simethicone,simethicone,simethicone,simethicone,simethicone,simethicone,simethicone
PNEUMOcoccal 23-valent polysaccharide vaccine,streptococcus pneumoniae capsular polysaccharide antigen 0.05 mg/ml,pneumococcal polysaccharide vaccine,pneumococcal polysaccharide vaccine,pneumococcal polysaccharide vaccine,pneumococcal polysaccharide vaccine,pneumococcal polysaccharide vaccine,pneumococcal 23-valent polysaccharide vaccine,pneumococcal 23-valent polysaccharide vaccine,pneumococcal polysaccharide,pneumococcal polysaccharide,pneumococcal polysaccharide,pneumococcal polysaccharide,pneumococcal polysaccharide,pneumococcal 23-valent,pneumococcal 23-valent,pneumococcal 23,pneumococcal 23,pneumococcal 23,pneumococcal 23,pneumococcal 23,pneumococcal 23,pneumococcal 23,pneumococcal polysac,pneumococcal polysac,pneumococcal polysac,pneumococcal 23,pneumococcal 23,pneumococcal 23,pneumococcal 23,pneumococcal vaccine polyval,pneumococcal vaccine polyval,pneumococcal vaccine polyval,pneumococcal vaccine,pneumococcal vaccine,pneumococcal polysacchar,pneumococcal 23
traZODONE,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone can be classified,trazodone can be classified,"sure, i can help you with","sure, i can help with that.",trazodone can be classified,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone,trazodone
Citalopram,citalopram,citalopram,citalopram,citalopram,citalopram,citalopram,citalopram,citalopram,citalopram,citalopram,citalopram,citalopram,citalopram,citalopram,citalopram,citalopram,citalopram,citalopram,citalopram,citalopram,citalopram,citalopram,citalopram,citalopram,citalopram,citalopram,citalopram,citalopram,citalopram,citalopram,citalopram,citalopram,citalopram,citalopram,citalopram,citalopram
Morphine Sulfate,morphine,morphine,morphine,morphine sulfate,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine sulfate,morphine sulfate would be classified,morphine sulfate would be classified,morphine sulfate would be classified,morphine sulfate would be classified,morphine sulfate,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine
Neomycin-Polymyxin-Bacitracin,bacitracin / neomycin / polymyxin B,neomycin/polymyxin b/bacitracin,neomycin/polymyxin b/bacitracin,neomycin/polymyxin b/bacitracin,neomycin/polymyxin b/bacitracin,neomycin-polymyxin-bacitracin,neomycin-polymyxin-bacitracin,neomycin-polymyxin b-bacitracin,neomycin-polymyxin-b,neomycin-polymyxin-b,neomycin-polymyxin-b,neomycin-polymyxin-b,neomycin-polymyxin-b,neomycin-polymyxin-b,neomycin polymyxin b bac,neomycin-polymy,neomycin-polymy,neomycin-polymyx,neomycin  confidence,neomycin-polymyx,neomycin-polymyx,neomycin-polymyx,neomycin-polymyxin-b,neomycin polymyxin bacit,neomycin-polymyxin-b,neomycin-polymyxin-b,neomycin-polymyxin-b,neomycin-polymyxin-b,neomycin-polymyxin-b,neomycin/polymyxin/b,neomycin/polymyxin/b,neomycin/polymyxin/b,neomycin/polymyxin/b,neomycin polymyxin bacitr,neomycin polymyxin bacitr,neomycin polymyxin bacitr
Sarna Lotion,camphor 5 mg/ml / menthol 5 mg/ml,pramoxine / menthol,pramoxine,pramoxine/menthol,pramoxine,pramoxine,pramoxine,pramoxine,camphor,camphor,camphor,camphor,camphor,sarna,camphor,sarna lotion would be classified,"sure, i understand that you",the generic name for the drug [s,sarna lotion would be classified as,sarna lotion is a brand name,sarna lotion is a topical,sarna lotion is a non-,sarna lotion -> camphor/,sarna lotion,sarna,sarna lotion,sarna lotion,sarna lotion,sarna lotion,pramoxine,pramoxine,pramoxine,pramoxine,pramoxine,pramoxine,pramoxine
0.9% Sodium Chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 9 mg,sodium chloride,sodium chloride,sodium chloride,0.9% sodium chlor,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride,sodium chloride
Albumin 25% (12.5g / 50mL),albumin 250 mg/ml,albumin,albumin 250 mg/ml,albumin 25%,albumin 25%,albumin 25%,albumin 25%,albumin human 25%,albumin,albumin,albumin,albumin,albumin,albumin,albumin,albumin,albumin,albumin 25%,albumin 25,albumin 25%,albumin 25%,25% albumin,albumin,albumin,albumin,albumin,albumin,albumin,albumin,albumin,albumin,albumin,albumin,albumin,albumin,albumin
Hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide,hydrochlorothiazide
Heparin Sodium,heparin,heparin,heparin sodium,heparin sodium,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin sodium,heparin sodium,heparin sodium,heparin sodium,heparin sodium,heparin sodium  conf,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin
Milk of Magnesia,magnesium sulfate,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,milk of magnesia is a common,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide,magnesium hydroxide
Lidocaine 5% Patch,lidocaine 0.05 mg/mg,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine,lidocaine
Acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen
Fluticasone Propionate 110mcg,fluticasone,fluticasone,fluticasone propionate,fluticasone propionate,fluticasone propionate,fluticasone,fluticasone,fluticasone,fluticasone propionate,fluticasone propionate,fluticasone propionate,fluticasone propionate,fluticasone propionate,fluticasone propionate,fluticasone propionate,fluticasone propionate,fluticasone propionate,fluticasone propionate,fluticasone propionate,fluticasone propionate,fluticasone propionate,fluticasone propionate,fluticasone,fluticasone,fluticasone,fluticasone,fluticasone,fluticasone,fluticasone propionate,fluticasone,fluticasone,fluticasone,fluticasone,fluticasone,fluticasone,fluticasone
HYDROmorphone (Dilaudid),hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydrocodone,hydrocodone,hydrocodone is not present in the,hydrocodone,hydrocodone,hydrocodone -> hydrocodone,hydrocodone is incorrect. the correct,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydrocodone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone
Metoprolol Tartrate,metoprolol tartrate,metoprolol,metoprolol tartrate,metoprolol tartrate,metoprolol tartrate,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol tartrate,metoprolol,metoprolol tartrate,metoprolol,metoprolol,metoprolol tartrate,metoprolol tartrate,metoprolol tartrate,metoprolol tartrate would,metoprolol tartrate,metoprolol tartrate can,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol
Gabapentin,gabapentin,gabapentin,gabapentin,gabapentin,gabapentin,gabapentin,gabapentin,gabapentin,gabapentin,gabapentin,gabapentin,gabapentin,gabapentin,gabapentin,gabapentin,gabapentin,gabapentin,gabapentin,gabapentin,"sure, i can help with that.",gabapentin,gabapentin,gabapentin,gabapentin,gabapentin,gabapentin,gabapentin,gabapentin,gabapentin,gabapentin,gabapentin,gabapentin,gabapentin,gabapentin,gabapentin,gabapentin
Influenza Vaccine Quadrivalent,influenza virus vaccine,influenza vaccine quadrivalent,influenza vaccine quadrivalent,influenza vaccine quadrivalent,influenza vaccine quadrivalent,influenza vaccine quadrivalent,influenza vaccine quadrivalent,"influenza virus vaccine, quadrivalent",influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine quadrivalent,influenza vaccine quadrivalent,influenza vaccine quadrivalent,influenza vaccine quadrivalent,influenza vaccine quadrivalent,influenza vaccine quadrivalent,influenza vaccine quadrivalent,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine quadrivalent,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine quadrivalent
Acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen
Albuterol 0.083% Neb Soln,albuterol 0.83 mg/ml,albuterol 0.83 mg/ml,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol nebulizer solution,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol,albuterol
Simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin,simvastatin
Sodium Phosphate,sodium phosphate,sodium phosphate,sodium phosphate,sodium phosphate,sodium phosphate,sodium phosphate,sodium phosphate,sodium phosphate,phosphate,phosphate,sodium phosphate,sodium phosphate,phosphate,phosphate,phosphate,sodium phosphate,sodium phosphate,sodium phosphate,sodium phosphate,sodium phosphate,sodium phosphate,sodium phosphate,sodium phosphate,sodium phosphate,sodium phosphate,sodium phosphate,sodium phosphate,sodium phosphate,sodium phosphate,sodium phosphate,sodium phosphate,sodium phosphate,sodium phosphate,sodium phosphate,sodium phosphate,sodium phosphate
Influenza Vaccine Quadrivalent,influenza virus vaccine,influenza vaccine quadrivalent,influenza vaccine quadrivalent,influenza vaccine quadrivalent,influenza vaccine quadrivalent,influenza vaccine quadrivalent,influenza vaccine quadrivalent,"influenza virus vaccine, quadrivalent",influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine quadrivalent,influenza vaccine quadrivalent,influenza vaccine quadrivalent,influenza vaccine quadrivalent,influenza vaccine quadrivalent,influenza vaccine quadrivalent,influenza vaccine quadrivalent,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine
Furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide
Thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine is the generic name,"sure, i can help with that.",thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine,thiamine
HYDROmorphone (Dilaudid),hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydrocodone,hydrocodone is not present in the,hydrocodone is not present in the,hydrocodone,hydrocodone,hydrocodone -> hydrocodone,hydrocodone is not present in the,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone
FoLIC Acid,folic acid,folic acid,folic acid,folic acid,folic acid,folic acid,folic acid,folic acid,folate,folate,folate,folate,folinic acid,folinic acid,folate,folic acid,folic acid,folic acid,folic acid,folic acid,folic acid,folic acid,folic acid,folic acid,folic acid,folic acid,folic acid,folic acid,folic acid,folic acid,folic acid,folic acid,folic acid,folic acid,folic acid,folic acid
Heparin Flush (100 units/ml),heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin
MetRONIDAZOLE (FLagyl),metronidazole,metronidazole,metronidazole,metronidazole,metronidazole,metronidazole,metronidazole,metronidazole,metronidazole,metronidazole,metronidazole,metronidazole,metronidazole,metronidazole,metronidazole,metronidazole,metronidazole,metronidazole,metronidazole,metronidazole,metronidazole,metronidazole,metronidazole,metronidazole,metronidazole,metronidazole,metronidazole,metronidazole,metronidazole,metronidazole,metronidazole,metronidazole,metronidazole,metronidazole,metronidazole,metronidazole
Influenza Virus Vaccine,influenza virus vaccine,influenza virus vaccine,influenza virus vaccine,influenza virus vaccine,influenza virus vaccine,influenza virus vaccine,influenza virus vaccine,influenza virus vaccine,influenza vaccine,influenza vaccine,"influenza virus vaccine is not a drug,","influenza virus vaccine is not a drug,","influenza virus vaccine is not a drug,",influenza virus vaccine,influenza virus vaccine,influenza virus vaccine,influenza virus vaccine,influenza virus vaccine,influenza virus vaccine,influenza virus vaccine,influenza virus vaccine,influenza virus vaccine,influenza virus vaccine,influenza virus vaccine,influenza virus vaccine,influenza virus vaccine,influenza virus vaccine,influenza virus vaccine,influenza virus vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza vaccine,influenza virus vaccine,influenza virus vaccine
