drugname,generic_name,pred_36,pred_37,pred_38,pred_39,pred_40,pred_41,pred_42,pred_43,pred_44,pred_45,pred_46,pred_47,pred_48,pred_49,pred_50,pred_51,pred_52,pred_53,pred_54,pred_55,pred_56,pred_57,pred_58,pred_59,pred_60,pred_61,pred_62,pred_63,pred_64,pred_65,pred_66,pred_67,pred_68,pred_69,pred_70
LANTUS,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,lantus is a long-act,the generic name for the drug [lan,the generic name for [lantus,lantus is a long-act,lantus is a long-act,lantus is a long-act,insulin glargine,insulin,insulin glargine,insulin glargine,lantus -> insulin glargine,lantus,lantus,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine,insulin glargine
potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride -> potassium chloride,potassium chloride -> potassium chloride,potassium chloride -> potassium chloride (no change,potassium chloride -> potassium chloride (no change,potassium chloride,potassium chloride,potassium chloride,"sure, i can help with that.","sure, i can help with that.",potassium chloride,potassium chloride,potassium chloride,potassium,potassium,potassium,potassium,potassium,potassium,potassium,potassium chloride,potassium chloride,potassium,potassium,potassium,potassium,potassium
TYLENOL,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,the generic name for the drug [ty,tylenol is a brand name for,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen
chlorHEXIDINE (PERIOGARD) 0.12 % oral rinse 15 mL,chlorhexidine gluconate,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine
SODIUM CHLORIDE,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride -> sodium chloride (no change,sodium chloride,sodium chloride,sodium chloride,"sure, i can help with that.",sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride -> sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride
VANCOCIN,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,"sure, i can help with that.","sure, i can help with that.",vancocin is already a generic,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin
50 ML FLEX CONT : MAGNESIUM SULFATE 4% IJ SOLN,magnesium sulfate,magnesium sulfate 40 mg/ml,magnesium sulfate 40 mg/ml,magnesium sulfate 4%,magnesium sulfate 4%,magnesium sulfate 4%,magnesium sulfate 4%,magnesium sulfate 4%,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate injection,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate
1000 ML : SODIUM CHLORIDE 0.9 % 0.9 % IV SOLP,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 0.,sodium chloride 0.,sodium chloride,sodium chloride 0.,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride intravenous fluid,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride,sodium chloride
4 ML VIAL : FUROSEMIDE 10 MG/ML IJ SOLN,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide
3 ML VIAL : INSULIN REGULAR HUMAN 100 UNIT/ML IJ SOLN,insulin regular,insulin regular human,insulin regular human,insulin regular human,insulin regular human,insulin regular human,insulin regular human,insulin regular human,insulin,insulin,insulin,insulin,insulin,insulin regular human,insulin human,insulin human regular,insulin human regular  here,insulin human regular  confidence,insulin human regular  confidence,insulin regular human,insulin regular human,insulin regular human 100,insulin,insulin,insulin,insulin,insulin,insulin regular human,insulin regular human,insulin regular,insulin regular,insulin regular human,insulin regular human,insulin regular,insulin regular,insulin regular
LOPRESSOR,metoprolol tartrate,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol tartrate,metoprolol tartrate,losartan,lopressor is a brand name,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,lopressor -> metoprolol,lopressor,lopressor,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol
DEXTROSE 50% ABBOJECT,glucose 500 mg/ml,dextrose 500 mg/ml,dextrose 500 mg/ml,dextrose 50%,dextrose 50%,dextrose 50%,dextrose 50%,dextrose 50%,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose 50%,dextrose 50%,dextrose 50%,dextrose 50%,dextrose 50%,dextrose 50%,50% dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose 500 mg/ml,dextrose 500 mg/ml,dextrose 50%,dextrose 50%,dextrose 50%,dextrose,dextrose
MIDAZOLAM HCL,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam,midazolam
hydrALAZINE 20 MG/1 ML 1 ML INJ,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,the generic name for the drug [,"sure, i can help you with",hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine,hydralazine
SODIUM CHLORIDE 0.9 % SYRINGE 10 ML SYRINGE,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 0.,sodium chloride,sodium chloride 0.,sodium chloride,sodium chloride 0.,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 9 mg/ml,sodium chloride,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride,sodium chloride
FUROSEMIDE 40 MG PO TABS,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide
fentaNYL,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,the generic name for the drug [f,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl,fentanyl
CHLORHEXIDINE GLUCONATE UD LIQ 15ML,chlorhexidine gluconate,chlorhexidine,chlorhexidine gluconate,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine gluconate,chlorhexidine gluconate,chlorhexidine gluconate,chlorhexidine gluconate,chlorhexidine gluconate,chlorhexidine gluconate,chlorhexidine glucon,chlorhexidine glucon,chlorhexidine glucon,chlorhexidine glucon,chlorhexidine glucon,chlorhexidine glucon,chlorhexidine glucon,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine,chlorhexidine
"HEPARIN 5,000 UNIT/ML",heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin
POTASSIUM CHLORIDE 40 MEQ/100 ML IV PIGGY BACK : 100 ML BAG,potassium chloride,potassium chloride 40 meq/100 ml,potassium chloride 40 meq/100 ml,potassium chloride 40 meq/100 ml,potassium chloride,potassium chloride,potassium chloride 40 meq/100 ml,potassium chloride 40 meq/100 ml,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride
PEPCID,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,pepcid is a brand name for,pepcid is classified as fam,"sure, i can help with that.",pepcid is a brand name for,pepcid is a brand name for,pepcid,famotidine,famotidine,famotidine,pepcid -> famotidine,pepcid -> famotidine,pepcid,pepcid,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine,famotidine
INSULIN LISPRO 100 UNITS/ML SUBQ SOLN,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro,insulin lispro
PANTOPRAZOLE 40 MG EC TAB,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole
ASPIRIN EC 81 MG PO TBEC,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,acetylsalicylic acid,the generic name for the drug [,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin
SODIUM CHLORIDE 0.9 % IV BOLUS,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 0.,sodium chloride,sodium chloride 0.,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride,sodium chloride
CALCIUM GLUCONATE 100 MG/ML IV SOLN,calcium gluconate,calcium gluconate 100 mg/ml,calcium gluconate 100 mg/ml,calcium gluconate 100 mg/ml,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium,calcium,calcium,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate,calcium gluconate
POTASSIUM CHLORIDE,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium,potassium,potassium,potassium,potassium,potassium chloride,potassium chloride,potassium chloride,potassium,potassium chloride,potassium,potassium
Sodium Chloride 0.9% SSO,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 0.,sodium chloride 0.,sodium chloride 0.,sodium chloride 0.,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride,sodium chloride
50 ML SYRINGE : DEXTROSE 50 % IV SOLN,glucose 500 mg/ml,dextrose 500 mg/ml,dextrose 500 mg/ml,dextrose 50%,dextrose 50%,dextrose 50%,dextrose 50%,dextrose 50% in water,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose 50%,dextrose 50%,dextrose 50%,dextrose 50%,dextrose 50%,50% dextrose solution,50 dextrose solution,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose 50%,dextrose 50%,dextrose,dextrose
POLYETHYLENE GLYCOL 3350 PO PACK,polyethylene glycol,polyethylene glycol 3350,polyethylene glycol 3350,polyethylene glycol 3350,polyethylene glycol 3350,polyethylene glycol 3350,polyethylene glycol 3350,polyethylene glycol 3350,polyethylene glycol 3350,polyethylene glycol 3350,polyethylene glycol 3350,polyethylene glycol 3350,polyethylene glycol 3350,polyethylene glycol 3350,polyethylene glycol 3350,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol 3350,polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycol 3350
BUMINATE,albumin 250 mg/ml,albumin human,albumin human,albumin human,albumin human,albumin,albumin human,albumin human,albumin,albumin,albumin,albumin,albumin,albumin,albumin,buminate is a trade name for,buminate is a brand name for human,bumetanide,bumetanide,bumetanide,bumetanide,bumetanide,albumin,albumin,albumin,albumin,buminate,bumetanide,albumin,albumin,albumin,albumin,albumin,albumin,albumin,albumin
ACETAMINOPHEN 325 MG ORAL TAB,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen
FUROSEMIDE 10 MG/1 ML 4ML SDV INJ,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide,furosemide
magnesium sulfate 1 g in d5w 100mL **LOCKED DOSE,magnesium sulfate,magnesium sulfate,magnesium sulfate 10 mg/ml,magnesium sulfate in dextrose 5%,magnesium sulfate in dextrose 5% in water,magnesium sulfate,magnesium sulfate in d5w,magnesium sulfate in dextrose 5% in water,magnesium,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,the generic name for the drug [m,magnesium sulfate,magnesium sulfate,the generic name for the raw drug name,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate in dextrose,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate in d5w,magnesium sulfate,magnesium sulfate,magnesium sulfate
MORPHINE 5 MG/ML INJECTION : 1 ML VIAL,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,"sure, i can help with that",morphine,morphine,morphine,morphine,morphine,morphine 5 mg/ml,morphine,morphine,morphine,morphine,morphine,morphine,morphine injection,morphine,morphine,morphine,morphine,morphine,morphine,morphine
Dilaudid,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,the generic name for the drug [d,dilaudid is a brand,the generic name for the drug [,"sure, i can help with that.",the generic name for the drug dil,dilaudid is a brand name for,hydromorphone,dilaudid,hydromorphone,hydromorphone,dilaudid,dilaudid,dilaudid,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone
LEVAQUIN,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin,levofloxacin
2 ML: ONDANSETRON HCL 4 MG/2ML IJ SOLN,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron hcl,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron
COLACE,docusate,docusate sodium,docusate sodium,docusate sodium,docusate sodium,docusate sodium,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,colace is a brand name for,colace is a brand name for,the generic name for the drug [col,colace is a brand name for d,colace is a brand name for d,colace is a brand name for d,docusate,docusate,docusate,docusate,docusate,docusate,colace,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate
morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,"sure, i can help with that.","sure, i can help with that.","sure, i can help with that.",morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine,morphine
CLOPIDOGREL BISULFATE 75 MG PO TABS,clopidogrel,clopidogrel,clopidogrel,clopidogrel,clopidogrel,clopidogrel,clopidogrel,clopidogrel,clopidogrel,clopidogrel,clopidogrel,clopidogrel,clopidogrel,clopidogrel,clopidogrel,clopidogrel,clopidogrel bisulfate,clopidogrel bisulfate,clopidogrel,clopidogrel bisulfate,clopidogrel,clopidogrel,clopidogrel,clopidogrel,clopidogrel,clopidogrel,clopidogrel,clopidogrel,clopidogrel,clopidogrel,clopidogrel,clopidogrel,clopidogrel,clopidogrel,clopidogrel,clopidogrel
SODIUM CHLORIDE 0.9 % IV : 500 ML,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 0.,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride,sodium chloride
KCL 20 MEQ/50 ML,potassium chloride,potassium chloride 20 meq/50 ml,potassium chloride 20 meq/50 ml,potassium chloride 20 meq/50 ml,potassium chloride,potassium chloride,potassium chloride,potassium chloride 20 meq/50 ml,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,kcl,kcl,the generic name for [kcl,the generic name for [kcl,the generic name for the drug [k,kcl,kcl 20 meq,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride
ENOXAPARIN,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin,enoxaparin
Ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron
"Sodium Chloride 0.9% 1,000 mL",sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 0.,sodium chloride,sodium chloride 0.,sodium chloride 0.,sodium chloride 0.,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride,sodium chloride
PROPOFOL 10 MG/1 ML 100ML SDV INJ,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol,propofol
ASPIRIN 325 MG PO TABS,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,"sure, i can help you with that","sure, i can help you with",aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin,aspirin
PROTONIX,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,the generic name for the drug [,the generic name for the drug [pro,the generic name for the drug [pro,the generic name for the drug [pro,protonix is already a generic name,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,protonix,protonix,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole,pantoprazole
POTASSIUM CHLORIDE,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium,potassium,potassium,potassium,potassium,potassium chloride,potassium chloride,potassium,potassium,potassium chloride,potassium,potassium
