,drug,ndc,route,count
14281,Bicitra,00802396216,NG,1
14282,Bicitra,00802396216,ORAL,1
14283,Bimatoprost,00023918703,OD,1
14284,Bisaco,00182853489,PO,1
14285,Bisaco,00574705050,PR,1
14286,Bisacodyl,00182853489,NG,1
14287,Bisacodyl,00713010950,NG,1
14288,Bisacodyl,00574705012,PO,1
14289,Bisacodyl,00536338101,PO OR ENTERAL TUBE,1
14290,Bisacodyl,00904640761,PR,1
14291,Bisacodyl (Rectal),00574705050,PO,1
14292,Bisacodyl (Rectal),00713010950,PR,1
14293,Biscolax,00536135501,PR,1
14294,Bismuth,00603023516,ORAL,1
14295,Bismuth,00904131309,PO,1
14296,Blephamide,11980002205,OU,1
14297,Botox,00023114501,SC,1
14298,Botox,00023114501,SUBCUT,1
14299,Brentuximab,51144005001,IV,1
14300,Brimonidin,00023917705,RIGHT EYE,1
14301,Brimonidine,00023917705,OD,1
14302,Brimonidine,00023917705,OS,1
14303,Brimonidine ,61314014405,LEFT EYE,1
14304,Brimonidine 0.2%,00023917705,OS,1
14305,Brimonidine-Timolol,00023917705,OU,1
14306,Brinzolamide 1% Ophth (*NF* ),00065027510,RIGHT EYE,1
14307,Bromday,00378204201,OU,1
14308,Bromday (bromfenac),00378204201,OU,1
14309,Bu,00591083960,PO,1
14310,BuPR,00591354060,PO,1
14311,BuPR,00173094755,PO,1
14312,BuPR,10370010103,PO/NG,1
14313,BuPRO,00173094755,PO,1
14314,BuPROP,00173017755,PO,1
14315,BuPROP,00591354060,PO,1
14316,BuPROP,10370010103,PO/NG,1
14317,BuPROP,00591354060,PO/NG,1
14318,BuPROP,51079094320,PO/NG,1
14319,BuPROPio,33358036430,PO/NG,1
14320,BuPROPion,33358036430,PO,1
14321,BuPROPion ,00904612961,PO,1
14322,BuPROPion ,00591354060,PO,1
14323,BuPROPion ,68180031906,PO,1
14324,BuPROPion  XL Brand Name,00173073002,PO,1
14325,BuPROPion (Sustained Release),51079094420,PO,1
14326,BuPROPion (Sustained Release),00173073002,PO,1
14327,BuPROPion (Sustained Release),10370010103,PO,1
14328,BuPRopion,00591083960,PO,1
14329,Bude,00186198804,IH,1
14330,Bude,00093681673,IH,1
14331,Budeso,00186198804,IH,1
14332,Budeso,00093681673,NEB,1
14333,Budesonide,00186091542,IH,1
14334,Budesonide,00186198904,IN,1
14335,Budesonide,00093681673,INHALATION,1
14336,Budesonide,00093681673,NEB,1
14337,Budesonide,00186198904,NU,1
14338,Budesonide,65483070210,ORAL,1
14339,Budesonide,00093681673,PO,1
14340,Budesonide 0.5mg,54569592800,IH,1
14341,Budesonide 0.5mg ,54569592800,IH,1
14342,Budesonide Nasal Inhaler,54868441101,IH,1
14343,Budesonide Nasal Inhaler,54868441101,IN,1
14344,Budesonide Nasal Inhaler,54868441101,INHALATION,1
14345,Budesonide-Formoterol,00186037220,IH,1
14346,Bum,00641600810,IV,1
14347,Bume,00409141210,IV,1
14348,Bumet,00641600810,IV,1
14349,Bumeta,00641600810,IV,1
14350,Bumetan,00641600810,IV,1
14351,Bumetanid,00409141210,IV,1
14352,Bumetanide,51079089120,NG,1
14353,Bumetanide,51079089101,ORAL,1
14354,Bupivacaine,00409115902,IJ,1
14355,Bupivacaine,00409116202,IV,1
14356,Bupivacaine ,00409116201,SC,1
14357,Bupivacaine ,00409116202,SC,1
14358,Bupivacaine 0.25%,00409115902,IJ,1
14359,Bupivacaine 0.25%,00409115902,IM,1
14360,Bupivacaine 0.25%,00409115902,IV,1
14361,Bupivacaine 0.25%,00409115902,PERIPHNERVE,1
14362,Bupivacaine 0.25%,00409115902,PL,1
14363,Bupivacaine 0.25%,55150016830,SC,1
14364,"Bupivacaine 0.25%-Epi 1:200,000 P.F.",63323046837,SC,1
14365,Bupivacaine 0.25%-Epinephrine,00409904202,IV,1
14366,Bupivacaine 0.25%-Epinephrine,00409174630,SC,1
14367,Bupivacaine 0.5%,00409116202,ID,1
14368,Bupivacaine 0.5%,00409116202,IJ,1
14369,Bupivacaine 0.5%,00409116202,IP,1
14370,Bupivacaine 0.5%,00409116202,IR,1
14371,Bupivacaine 0.50%-Epinephrine,00409904502,IJ,1
14372,Bupivacaine 0.50%-Epinephrine,00409904502,IV,1
14373,Bupivacaine 0.50%-Epinephrine,00409904502,PERIPHNERVE,1
14374,Bupivacaine 0.50%-Epinephrine,00409174929,SC,1
14375,Bupivacaine 0.50%-Epinephrine,00409904502,TP,1
14376,Bupivacaine 0.75%,00409176102,IA,1
14377,Bupivacaine 0.75%,00409176102,TD,1
14378,Bupr,00054017613,PO,1
14379,Bupreno,00054017613,PO,1
14380,Buprenor,00054017613,PO,1
14381,Buprenorp,00054017613,SL,1
14382,Buprenorphine-Naloxone,35356000430,SL,1
14383,Buprenorphine-Naloxone,65162041603,SL,1
14384,Buprenorphine-Naloxone ,12496120803,SL,1
14385,Buprenorphine-Naloxone ,35356000430,SL,1
14386,Buprenorphine-Naloxone (2mg-0.5mg),12496120203,SL,1
14387,Buprenorphine-Naloxone (8mg-2mg),65162041603,SL,1
14388,Buprenorphine-Naloxone (8mg-2mg),12496120803,SL,1
14389,Buprenorphine-Naloxone (8mg-2mg),12496128302,SL,1
14390,Buprenorphine-Naloxone Film ,00781723864,SL,1
14391,Buprenorphine-Naloxone Film ,12496120203,SL,1
14392,Buprenorphine-Naloxone Film (2mg-0.5mg),00781721664,SL,1
14393,Buprenorphine-Naloxone Tablet (2mg-0.5mg),12496120203,SL,1
14394,Buprenorphine-Naloxone Tablet (8mg-2mg),12496120803,SL,1
14395,Bupro,00591083960,ORAL,1
14396,Bupropion,00591083960,ORAL,1
14397,Bupropion,00173017855,ORAL,1
14398,Bupropion HCl,00173017755,ORAL,1
14399,BusPI,51079098620,PO,1
14400,BusPIRo,51079098620,PO,1
14401,BusPIRone,51079098501,NG,1
14402,BusPIRone,51079098620,PO/NG,1
14403,Busulfan,67286005308,IV BOLUS,1
14404,Butalbit,00591321901,ORAL,1
14405,Butalbita,00591321901,ORAL,1
14406,Butorphanol Tartrate,00087565041,NAS,1
14407,Butorphanol Tartrate,00087565041,NU,1
14408,Butorphanol Tartrate Nasal Spray,00087565041,NU,1
14409,C,51079059720,ORAL,1
14410,CARVedilol,00904630061,PO,1
14411,CARVedilol,00904630261,PO,1
14412,CARtia XT,00258368890,ORAL,1
14413,CELECOXIB,00025152034,PO,1
14414,CELECOXIB,00025152534,PO,1
14415,CELECOXIB,68084097601,PO,1
14416,CILOSTAZOL,66993000860,ORAL,1
14417,CILOSTAZOL,51079042420,ORAL,1
14418,CIPRODEX,00065853302,AS,1
14419,CIPRODEX,61314065625,AU,1
14420,CISplatin,63323010351,PB,1
14421,COQ10 (300 mg) ,14654084868,PO,1
14422,COQ10 200 mg,10939003722,NG,1
14423,COQ10 200 mg,10939003722,PO/NG,1
14424,COQ10 200 mg CAPS,10939003722,PO,1
14425,COQ10 200mg,10939003722,NG/OG,1
14426,COQ10 200mg,10939003722,PO/NG,1
14427,COQ10 300 mgs,14654084868,PO,1
14428,COQ10 300mg,14654084868,PO,1
14429,COQ10 300mg ,14654084868,PO,1
14430,CYCLOSPORINE 0.05% OPHTH EMULSION,00023916330,LEFT EYE,1
14431,CYCLOSPORINE 0.05% OPHTH EMULSION,00023916330,OD,1
14432,CYCLOSPORINE 0.05% OPHTH EMULSION,00023916330,OS,1
14433,CYCLOSPORINE 0.05% OPHTH EMULSION,00023916330,TP,1
14434,Cabazitaxel,00024582411,IV,1
14435,Calan SR,51079086920,PO,1
14436,Calcijex,63323073101,IJ,1
14437,Calcijex,63323073101,IV,1
14438,Calcitonin (Salmon),00078031154,NU,1
14439,Calcitonin Salmon,00078031154,NAS,1
14440,Calcitrate,66553000401,ORAL,1
14441,Calcitrate-Vitamin D,16500053504,ORAL,1
14442,Calcitri,00093065701,PO,1
14443,Calcitriol,63323073101,IJ,1
14444,Calcitriol,00093065701,ORAL,1
14445,Calcitriol,00054312041,PO/NG,1
14446,Calcium,00409492834,IV,1
14447,Calcium,66553000401,PO/NG,1
14448,Calcium ,61553008348,IV,1
14449,Calcium 600,66553000401,ORAL,1
14450,Calcium Acetate,00054008826,TP,1
14451,Calcium Carbonate,00054811616,J TUBE,1
14452,Calcium Carbonate 1000mg tab,66553000401,PO,1
14453,Calcium Carbonate Suspension,00054811616,G TUBE,1
14454,Calcium Carbonate Suspension,00121476605,PO,1
14455,Calcium Citrate,16500053504,PO/NG,1
14456,Calcium Citrate +,16500053504,ORAL,1
14457,Calcium Citrate + Vit D,16500053504,ORAL,1
14458,Calcium Gluc,63323031119,IV,1
14459,Calcium Gluco,61553005148,IV,1
14460,Calcium Gluconate,63323031110,PB,1
14461,Calcium Gluconate ,61553008348,IV,1
14462,Calcium Replacement (Oncology),61553008348,IV,1
14463,Cangrelor,65293000310,IV,1
14464,Capoten,49884079474,ORAL,1
14465,Capt,00904504561,PO/NG,1
14466,Capt,51079086320,PO/NG,1
14467,Capto,00904504561,PO/NG,1
14468,Captop,51079086320,PO/NG,1
14469,Captopr,51079086320,PO/NG,1
14470,Captopril,51079086420,NG,1
14471,Captopril,49884079374,PO/NG,1
14472,Captopril,00904504561,SL,1
14473,CarBAMaze,51672412401,PO/NG,1
14474,CarBAMaze,00904617261,PO/NG,1
14475,CarBAMazepine,00078051005,PO/NG,1
14476,CarBAMazepine Chewable Tabs,68094021462,PO/NG,1
14477,CarafATE,00093221001,ORAL,1
14478,CarafATE,51079087101,PR,1
14479,Carafate,51079087101,G TUBE,1
14480,Carbamazep,51672412401,PO,1
14481,Carbamazep,51672412401,PO/NG,1
14482,Carbamazepin,00083006230,PO,1
14483,Carbamazepin,54092017212,PO,1
14484,Carbamazepine,66689032350,NG,1
14485,Carbamazepine,00083005232,NG,1
14486,Carbamazepine,51672412401,ORAL,1
14487,Carbamazepine,66689032350,PO,1
14488,Carbamazepine,00078051005,PO,1
14489,Carbamazepine ,51079087020,PO/NG,1
14490,Carbamazepine Chewable Tabs,00083005232,NG,1
14491,Carbamazepine Chewable Tabs,68094021462,PO,1
14492,Carbamazepine Chewable Tabs,51079087020,PO,1
14493,Carbamazepine Chewable Tabs,66689032350,PO/NG,1
14494,Carbamazepine Suspension,66689032350,PO,1
14495,Carbamazepine Suspension,68094021462,PR,1
14496,Carbamide Peroxide 6.5%,00904662735,BOTH EARS,1
14497,Carbamide Peroxide 6.5%,00904662735,LEFT EAR,1
14498,Carbatrol,00083006130,PO,1
14499,Carbatrol,54092017312,PO,1
14500,Carbi,18860034201,ORAL,1
14501,Carbidopa,18860034201,PO/NG,1
14502,Carbidopa,00378505301,PO/NG,1
14503,Carbidopa-Levodopa,18860034201,PO,1
14504,Carbidopa-Levodopa,68084028101,PO,1
14505,Carbidopa-Levodopa (25-100),00378505201,NG,1
14506,Carbidopa-Levodopa (25-100),00378505201,PO,1
14507,Carbidopa-Levodopa (25-100) ODT,51079075620,PO/NG,1
14508,Carbidopa-Levodopa (25-100) ODT,51079088420,PO/NG,1
14509,Carbidopa-Levodopa (25-250),51079078320,NG,1
14510,Carbidopa-Levodopa (25-250),63739001310,PO,1
14511,Carbidopa-Levodopa (25-250),00091334301,PO/NG,1
14512,Carbidopa-Levodopa CR ,68084028101,PO,1
14513,Carbidopa-Levodopa CR (25-100),00378505201,PO,1
14514,Carbidopa-Levodopa CR (25-100),18860034201,PO,1
14515,Cardizem CD,00456261563,ORAL,1
14516,Cardizem CD,00258369090,PO,1
14517,Carnitor,50383017290,ORAL,1
14518,Carteolol 1% Ophth Soln,61314023805,BOTH EYES,1
14519,Carteolol 1% Ophth Soln,24208036705,LEFT EYE,1
14520,Carteolol 1% Ophth Soln,61314023805,LEFT EYE,1
14521,Carvedilol,51079093120,J TUBE,1
14522,Carvedilol,51079093020,NG,1
14523,Catapres-TTS-3,00378087399,TD,1
14524,CeFAZolin,60505614205,DWELL,1
14525,CeFAZolin,60505074905,IM,1
14526,CeFAZolin,44567070725,LOCK,1
14527,CeFAZolin,00338350341,PB,1
14528,CefTAZidime,00409509216,IM,1
14529,CefTAZidime,10019069102,IM,1
14530,CefTAZidime,00409508216,IM,1
14531,CefTAZidime,00173037934,IM,1
14532,CefTAZidime,44567023525,INTRAVITREAL,1
14533,CefTAZidime,10019069102,IP,1
14534,CefTAZidime,44567023610,IRR,1
14535,CefTAZidime Graded Challenge,25021012720,IV,1
14536,CefTRIAXone,00409733503,IM,1
14537,CefTRIAXone,00781320695,IV,1
14538,CefTRIAXone,60505075100,IV,1
14539,CefTRIAXone Graded Challenge,00781320895,IV,1
14540,CefazoLIN,66860090203,IP,1
14541,CefazoLIN,00264310511,PB,1
14542,Cefazolin 2 g,00781345196,IV,1
14543,CefePIME,60505068104,IJ,1
14544,CefePIME,60505614704,IRR,1
14545,Cefpodoxim,63304052020,PO/NG,1
14546,Cefpodoxime,63304052020,ORAL,1
14547,Cefpodoxime Proxetil,63304052020,NG,1
14548,Cefpodoxime Proxetil,65862009520,NG,1
14549,CeftazIDIME,00409509216,IP,1
14550,CeftazIDIME,00173041300,PB,1
14551,CeftazIDIME,00173041200,PB,1
14552,CeftriaXONE,00781320895,IM,1
14553,CeftriaXONE,00338500341,IM,1
14554,CeftriaXONE,00004196401,IP,1
14555,CeleBREX,68084097601,ORAL,1
14556,CeleXA,60505251903,ORAL,1
14557,Celexa,60505251903,ORAL,1
14558,CellCept,00378447201,ORAL,1
14559,CellCept,00004026001,PO,1
14560,Celontin,00071052524,ORAL,1
14561,Celontin (methsuximide),00071052524,ORAL,1
14562,Cep,63824071298,PO,1
14563,Cep,49452521001,PO,1
14564,Cepacol,11509021217,PO,1
14565,Cepacol (Menthol),63824071298,PO,1
14566,Cepacol (Sore Throat Lozenge),63824071298,ORAL,1
14567,Cepacol Dual Relief,11509021217,PO,1
14568,Cepacol Sore Throat (benz-men),63824072283,PO,1
14569,Cepastat (Phenol),49452521001,PO,1
14570,Cephalexin,68180012401,J TUBE,1
14571,Cephalexin,51079060420,NG,1
14572,Cephalexin,68180012401,ORAL,1
14573,Cephalexin,55045141500,ORAL,1
14574,Cephalexin,67877054588,PO/NG,1
14575,Cetiri,51079059720,ORAL,1
14576,Charcoal Aqueous (Activated),66689020204,NG,1
14577,Charcoal Aqueous (Activated),66689020204,PO/NG,1
14578,Charcoal-Sorbitol,00574012008,PO,1
14579,Chloraseptic,78112001103,TP,1
14580,Chlorhexidine Gluconate,54569523500,NG,1
14581,Chlorhexidine Gluconate,54569523500,ORAL,1
14582,Chlorhexidine Gluconate,54569523500,TP,1
14583,Chlorhexidine Gluconate 0.12% Oral Rinse,54569523500,OG,1
14584,Chloroprocaine 2%,63323047727,ID,1
14585,Chloroprocaine 2%,63323047727,PO,1
14586,Chloroprocaine 2% MPF,00186099166,INTERSPACE,1
14587,Chloroprocaine 2% MPF,00186099166,SC,1
14588,Chloroprocaine 3% MPF,63323047820,ED,1
14589,Chloroprocaine 3% MPF,63323047820,TD,1
14590,Chlorothiazide,00378015001,PO,1
14591,Chlorothiazide,67386071155,PO,1
14592,ChlorproMAZINE *NF*,51079051620,PO,1
14593,Chlorthali,51079005820,PO/NG,1
14594,Cholestyramine,49884046565,G TUBE,1
14595,Cilostaz,51079042420,ORAL,1
14596,Cilostazol,70436005006,PO,1
14597,Cilostazol,50268017715,PO/NG,1
14598,Ciloxan,00065065435,OS,1
14599,Cinacalcet,55513007330,NG,1
14600,Cipro,00172531110,ORAL,1
14601,Cipro,00065853302,RIGHT EAR,1
14602,Ciprodex,00065853302,AD,1
14603,Ciprodex,00065853302,RIGHT EAR,1
14604,Ciproflox,00085177701,PO/NG,1
14605,Ciprofloxacin,61314065625,AU,1
14606,Ciprofloxacin,36000001101,IV,1
14607,Ciprofloxacin,00172531110,IV,1
14608,Ciprofloxacin,61314065625,LEFT EAR,1
14609,Ciprofloxacin,00172531210,PO,1
14610,Ciprofloxacin,00085177701,PO/NG,1
14611,Ciprofloxacin,68084006901,PO/NG,1
14612,Ciprofloxacin ,00085177701,NG,1
14613,Ciprofloxacin ,68084006901,PO,1
14614,Ciprofloxacin ,00085177701,PO/NG,1
14615,Ciprofloxacin ,68084007001,PO/NG,1
14616,Ciprofloxacin ,61314065625,RIGHT EAR,1
14617,Ciprofloxacin 0.3% Ophth Soln,69315030802,BOTH EYES,1
14618,Ciprofloxacin 0.3% Ophth Soln,69315030802,LEFT EAR,1
14619,Ciprofloxacin 0.3% Ophth Soln,69315030802,RIGHT EAR,1
14620,Ciprofloxacin HCl,00172531210,J TUBE,1
14621,Ciprofloxacin HCl,00085177701,NG,1
14622,Ciprofloxacin HCl,00085177701,PO,1
14623,Ciprofloxacin-Dexamethasone 0.3-0.1%,00065853302,AS,1
14624,Cisatracurium,00781315295,IV BOLUS,1
14625,Cisatracurium Besylate,63323041820,IV,1
14626,Cisatracurium Besylate,00703205603,IV DRIP,1
14627,Citalop,60505251903,PO/NG,1
14628,Citalopram ,60505251903,PO/NG,1
14629,Citalopram Hydrobromide,60505251903,G TUBE,1
14630,Citracal,16500053504,ORAL,1
14631,Citracal + Bone Density,16500053504,ORAL,1
14632,Citracal Regular,16500053504,ORAL,1
14633,Citrate Dextrose 3% (ACD-A) CRRT,00942064104,IV,1
14634,Clarithromycin,00074318813,ORAL,1
14635,Claritin,52959045230,NG,1
14636,Claritin,68084024801,ORAL,1
14637,Claritin-D 12 Hour,68084024801,PO,1
14638,Cleocin T,59762372802,TP,1
14639,Climara,50419045204,TRANSDERMAL,1
14640,Clinda,68084024301,PO/NG,1
14641,Clinda,00009076004,PO/NG,1
14642,Clindamyci,51079059820,PO,1
14643,Clindamycin,00904595961,NG,1
14644,Clindamycin,00168020360,TP,1
14645,Clindamycin Phosphate,00168020160,TP,1
14646,Clindamycin Solution,00009076004,NG,1
14647,Clindamycin Suspension,00009076004,NG,1
14648,CloNIDine,39822201001,IT,1
14649,CloNIDine,00904565661,PO/OG,1
14650,Clobazam,67386031321,NG,1
14651,Clobazam,67386031401,PO,1
14652,Clobetasol Propionate 0.05% Cream,00168016230,TP,1
14653,Clobetasol Propionate 0.05% Ointment,51672125802,TP,1
14654,Clofazime,51927371900,PO,1
14655,ClomiPRAMINE,68084079025,PO,1
14656,ClonazePAM,43547040610,NG,1
14657,ClonazePAM,43547040710,NG,1
14658,ClonazePAM,49884030602,PO,1
14659,ClonazePAM,16729013700,PO,1
14660,ClonazePAM,16590005960,PO/NG,1
14661,Clonazepam,51079088120,J TUBE,1
14662,CloniDINE,40042005210,ED,1
14663,CloniDINE,40042005210,IT,1
14664,Clonidine,00904565661,ORAL,1
14665,Clonidine Patch,00597003234,TD,1
14666,Clonidine Patch 0.1,16590047704,TD,1
14667,Clonidine Patch 0.1,00597003234,TD,1
14668,Clopidigrel 75mg po,63653117103,PO,1
14669,Clopidogrel,63653117103,G TUBE,1
14670,Clopidogrel,00904646707,NG,1
14671,Clopidogrel,51079055803,ORAL,1
14672,Clopidogrel,63653117103,PR,1
14673,Clopidogrel ,51079055720,PO,1
14674,Clopidogrel Bisulfate,63653117103,NG,1
14675,Clopidogrel Desensitization,51079055720,PO,1
14676,Clopidogril 75mg,63653117103,PO,1
14677,Clopidopgrel 75mg ,63653117103,PO/NG,1
14678,Clotrim Antifungal,00904782231,TP,1
14679,Clotrimazole,51672203701,RIGHT EAR,1
14680,Clotrimazole 1% Solution,51672203701,RIGHT EAR,1
14681,Clozapine,00078012706,NG,1
14682,CoEnzyme Q10 (300 mg),14654084868,PO,1
14683,CoEnzyme Q10 (300 mg) ,14654084868,PO,1
14684,CoQ10,10939003722,NG,1
14685,CoQ10,14654084868,PO,1
14686,CoQ10  200 mg,10939003722,PO/NG,1
14687,CoQ10 200 mg,10939003722,PO,1
14688,CoQ10 200 mg cap,10939003722,PO,1
14689,CoQ10 200mg,10939003722,PO,1
14690,CoQ10 200mg ,10939003722,PO/NG,1
14691,CoQ10 200mg liquid,10939003722,PO,1
14692,CoQ10 300mg,14654084868,PO/NG,1
14693,CoQ10:200 mg,10939003722,PO,1
14694,Cocaine 4% Soln,00054315440,NAS,1
14695,Cocaine HCl,00054315540,IN,1
14696,Code,00054815624,NG,1
14697,Code,00409109732,NG,1
14698,Codeine-Guaifenesin,00121177505,ORAL,1
14699,Coenzyme,10939003722,PO,1
14700,Coenzyme Q10 ,10939003722,PO,1
14701,Coenzyme Q10 200 mg liquid ,10939003722,NG,1
14702,Coenzyme Q10 300 mg,14654084868,PO/NG,1
14703,Colace,00904224461,ORAL,1
14704,Colace Clear,57896042101,ORAL,1
14705,Colchi,00143120101,ORAL,1
14706,Colchicine,00143120125,ORAL,1
14707,Colchicine,00143120101,ORAL,1
14708,Colcrys,64764011907,ORAL,1
14709,Colestid,00009026002,ORAL,1
14710,Colestipol,00009026002,ORAL,1
14711,Colocort,00574202001,PR,1
14712,Combi,00597002402,IH,1
14713,CombiPatch,00078037742,TD,1
14714,Combigan,52268010001,OD,1
14715,Combigan,52268010001,OU,1
14716,Combivent,00597001314,IN,1
14717,Comtan,00078032705,G TUBE,1
14718,Concerta,17314585102,ORAL,1
14719,Copaxone,00088115330,SUBCUT,1
14720,Cordarone,51079090620,ORAL,1
14721,Cortef,00603390121,ORAL,1
14722,Cortef,00009001201,PO/NG,1
14723,Cortenema,00574202001,PR,1
14724,Cortisone,00009001201,ORAL,1
14725,Cortisone acetate,00143125401,ORAL,1
14726,Cosopt,24208048610,BOTH EYES,1
14727,Cosopt (PF),24208048610,OU,1
14728,Cosy,67457022702,IV,1
14729,Coumadin,00056017275,ORAL,1
14730,Coumadin,00056017275,PR,1
14731,Cozaar,00006095228,ORAL,1
14732,Creon ,00032121201,ORAL,1
14733,Creon 12,39822020501,PO/NG,1
14734,Creon 20,00032121001,ORAL,1
14735,Crinone,52544025524,VG,1
14736,Critic-Aid,11701005032,TD,1
14737,Cromolyn,17478029111,OD,1
14738,Cromolyn Sodium,00009770901,TP,1
14739,Cromolyn Sodium (Nasal Inhalation),00009770901,ND,1
14740,Cyanide Antidote,11098050701,IV,1
14741,Cyanoco,10135033063,PO/NG,1
14742,Cyanoco,00517003125,SC,1
14743,Cyanocobalamin,00904421813,NG,1
14744,Cyanocobalamin,50268085215,PO,1
14745,Cyanocobalamin,50268085415,SL,1
14746,CycloSPORINE ,00078024615,PO,1
14747,CycloSPORINE ,00078027422,PO,1
14748,CycloSPORINE ,00078024815,PO/NG,1
14749,CycloSPORINE ,00078024615,PO/NG,1
14750,CycloSPORINE (Neoral) MODIFIED,00093574265,PO,1
14751,CycloSPORINE (Sandimmune),00078011022,IV,1
14752,CycloSPORINE (Sandimmune),00078024015,NG,1
14753,CycloSPORINE (Sandimmune),00078024615,PO,1
14754,CycloSPORINE (Sandimmune),00078027422,PO,1
14755,Cyclobe,00904780961,PO/NG,1
14756,Cyclobenza,51079064420,PO/NG,1
14757,Cyclobenzapri,51079064420,PO/NG,1
14758,Cyclobenzaprine,63739053110,PO,1
14759,Cyclopentolate 1%,61314039601,LEFT EYE,1
14760,Cyclopentolate 1%,17478010002,RIGHT EYE,1
14761,Cyclopentolate 1%,61314039601,RIGHT EYE,1
14762,Cyclopentolate-Phenylephrine,00065035902,BOTH EYES,1
14763,Cyclopentolate-Phenylephrine,00065035902,LEFT EYE,1
14764,Cyclosporine 0.05% Ophth Emulsion,00023916330,LEFT EYE,1
14765,Cyclosporine 0.05% Ophth Emulsion,00023916330,RIGHT EYE,1
14766,Cymbalta,00002323560,ORAL,1
14767,Cyproheptadine,00472075516,ORAL,1
14768,Cytarabine,63323012020,IT,1
14769,Cytarabine,55390013110,IV,1
14770,Cytarabine,55390013301,IV BOLUS,1
14771,Cytarabine,55390013301,IV DRIP,1
14772,Cytarabine,55390013401,PB,1
14773,Cytomel,60793011501,ORAL,1
14774,Cytotec,59762500802,PR,1
14775,D,00054817625,PO,1
14776,D10W,00338002302,IV,1
14777,D12.5W,00338002304,IV DRIP,1
14778,D20W (Glass Bottle),00409153503,IN,1
14779,D5 1/2NS,00338008504,IN,1
14780,D5 1/2NS,00338008504,IV BOLUS,1
14781,D5NS,00338008904,IV INFUSION,1
14782,D5W,00338001738,IV,1
14783,D5W,00074792201,IV BOLUS,1
14784,D5W,00338001703,IV BOLUS,1
14785,D5W,00338001731,IV DRIP,1
14786,D5W,00409792337,IVT,1
14787,D5W,00074792337,PB,1
14788,D5W,00074792201,PR,1
14789,D5W W 0.1% Albumin,61825201501,PB,1
14790,DASatinib,00003085222,ORAL,1
14791,DAUNOrubicin,55390010810,IV BOLUS,1
14792,DICYCLOMine,00591079401,PO,1
14793,DICYCLOMine,00143312601,PO,1
14794,DIOvan,00078035934,ORAL,1
14795,DIOvan,00078042306,ORAL,1
14796,DOBUTamine,00409234402,IV,1
14797,DOBUTamine,00002717510,IV DRIP,1
14798,DOBUTamine,00338107302,PB,1
14799,DOBUTamine,00409234632,PB,1
14800,DOPamine,00517180525,IV DRIP,1
14801,DOPamine,00338100702,PB,1
14802,DOXOrubicin,10019092001,IV,1
14803,DOXOrubicin,55390023301,IV BOLUS,1
14804,DOXOrubicin,55390023210,IV DRIP,1
14805,DOXOrubicin,55390023301,PB,1
14806,DULoxetine,60505299603,ORAL,1
14807,Dacarbazine,00703507503,IV,1
14808,Dakins,00436093616,IRR,1
14809,Dakins,00436094616,TP,1
14810,Dakins 1/2 Strength,00436067216,TP,1
14811,Dalteparin,00069022001,SC,1
14812,Dalteparin,00069022301,SC,1
14813,Dalteparin,00069021701,SC,1
14814,Dalteparin,00069019601,SC,1
14815,Dalteparin,00069022001,SUBCUT,1
14816,Dalteparin,00069022301,SUBCUT,1
14817,Dapsone,49938010130,NG,1
14818,Dapsone,49938010101,NG,1
14819,Daraprim,69413033010,ORAL,1
14820,Darbepoetin Alfa In Polysorbat,55513002504,IJ,1
14821,Darbepoetin Alfa In Polysorbat,55513002504,SC,1
14822,Darbepoetin Alfa In Polysorbat,55513002801,SC,1
14823,Darunavir,59676056201,G TUBE,1
14824,Darunavir,59676056101,NG,1
14825,Darunavir,59676056201,NG,1
14826,Darunavir ,54868563100,PO,1
14827,Darunavir 300mg tablet,54868563100,PO,1
14828,Dasa,00003085222,PO/NG,1
14829,Dasatinib,00003052411,PO/NG,1
14830,De,63323016501,IV,1
14831,Decitabine,58063060050,IV BOLUS,1
14832,Decitabine,62856060001,PB,1
14833,Declomycin,00005921823,ORAL,1
14834,Deferoxamine Mesylate,00409233610,IM,1
14835,Defibrotide *NF*,68727080001,IJ,1
14836,Depakote,68084077601,ORAL,1
14837,Depakote,00074621411,ORAL,1
14838,Depakote,51079076608,ORAL,1
14839,Depakote ER,00904636445,ORAL,1
14840,Depakote ER,51079076708,PO,1
14841,Derm,63029850401,TP,1
14842,Desmopressin,69918089910,IV,1
14843,Desmopressin,00075245001,NAS,1
14844,Desmopressin Acetate,69918089910,PB,1
14845,Desmopressin Acetate,55566504001,SC,1
14846,Desmopressin Nasal,00075245201,IN,1
14847,Desmopressin Nasal,55566240000,NAS,1
14848,Desonide,00026556161,TP,1
14849,Desonide 0.05%,51672128001,TP,1
14850,Dex,00641036725,IV,1
14851,Dex,00054818125,PO,1
14852,Dex,00054817525,PO,1
14853,Dexa,00054817525,PO,1
14854,Dexame,63323016501,IV,1
14855,Dexameth,00054817525,PO,1
14856,Dexameth,00054817925,PO,1
14857,Dexametha,63323016501,IV,1
14858,Dexametha,60432046608,ORAL,1
14859,Dexamethas,00054817525,PO,1
14860,Dexamethaso,60432046608,ORAL,1
14861,Dexamethaso,00054817925,PO,1
14862,Dexamethason,63323016501,IV,1
14863,Dexamethason,60432046608,ORAL,1
14864,Dexamethasone,67457042312,IA,1
14865,Dexamethasone,63323016501,IA,1
14866,Dexamethasone,00054817525,IV,1
14867,Dexamethasone,00054817925,IV,1
