,drugname,routeadmin,count
7116,LEVOFLOXACIN 500 MG PO TABS,Per G Tube,2
7117,ZOFRAN,Intravenous,2
7118,Lopressor,Dophoff Tube,2
7119,ALBUTEROL/IPRATROPIUM NEB,NEB,2
7120,METOPROLOL TARTRATE,Per enteric tube (oral)                                                                             ,2
7121,LEVOFLOXACIN,NG-TUBE,2
7122,ATORVASTATIN,FT,2
7123,HALOPERIDOL,GTUBE,2
7124,Ondansetron 2mg/ml  SSO,IM,2
7125,LORAZEPAM,IM (injection)                                                                                      ,2
7126,PROMETHAZINE HCL,IV - brief infusion (injection)                                                                     ,2
7127,COUMADIN,PEJ,2
7128,EPINEPHrine,INTRAVENOU,2
7129,LACTULOSE 20 GRAM/30 ML ORAL SOLN,PER G TUBE,2
7130,NITROGLYCERIN,IV - continuous infusion (intravenous)                                                              ,2
7131,DIAZEPAM,INJ,2
7132,SIMVASTATIN,PO/NG,2
7133,SODIUM POLYSTYRENE SULFONATE,GT,2
7134,AMIODARONE,G-TUBE,2
7135,AMIODARONE,NG-TUBE,2
7136,SPIRONOLACTONE 25 MG PO TABS,NGT,2
7137,CATAPRES,J Tube,2
7138,EPHEDRINE SULFATE,INJ,2
7139,FENTANYL CITRATE,BUCCAL,2
7140,KETOROLAC TROMETHAMINE,IV/IM,2
7141,LORAZEPAM,NGTUBE,2
7142,SENNOSIDES,ORAL/TUBE,2
7143,ALPRAZOLAM 0.25 MG PO TABS,PER TUBE,2
7144,metroNIDAZOLE,JTUBE,2
7145,AMIODARONE HCL 200 MG PO TABS,PEGTUBE,2
7146,clonazePAM,Feeding,2
7147,CLONIDINE HCL,NGTUBE,2
7148,CALCIUM CARBONATE ANTACID 500 MG PO CHEW,Per J Tube,2
7149,atorvastatin,PO or NG,2
7150,Benadryl,NG-tube,2
7151,Potassium Chloride Inj 2 MEQ/ML VIAL,.SEE ORDER,2
7152,LIDOCAINE 1%,STK,2
7153,ipratropium-albuterol,Mouthpiece,2
7154,digoxin,NG,2
7155,clonazePAM,G-Tube,2
7156,HYDROmorphone,IntraMUSCULAR,2
7157,1 ML : HEPARIN SODIUM (PORCINE) 5000 UNIT/ML IJ SOLN,IR,2
7158,Ativan,NG,2
7159,FAMOTIDINE,GT,2
7160,IBUPROFEN,FT,2
7161,SODIUM CHLORIDE,GASTRIC TU,2
7162,AMIODARONE HCL,OG,2
7163,predniSONE,PEG-tube,2
7164,Lasix,G-Tube,2
7165,ASPIRIN   81 MG ORAL CHEW TAB,G-Tube,2
7166,ASPIRIN,J-TUBE,2
7167,CITALOPRAM,NGTUBE,2
7168,AMIODARONE 200 MG TAB,JTUBE,2
7169,CLOPIDOGREL BISULFATE,NG,2
7170,LISINOPRIL 20 MG TAB,GTUBE,2
7171,ATORVASTATIN CALCIUM 80 MG PO TABS,PER J TUBE,2
7172,LASIX,J Tube,2
7173,LOSARTAN POTASSIUM 50 MG PO TABS,Per NG tube,2
7174,levETIRAcetam,G-Tube,2
7175,FUROSEMIDE 40 MG TAB,GTUBE,2
7176,CARVEDILOL 3.125 MG PO TABS,PER J TUBE,2
7177,HALDOL,PEJ,2
7178,Pepcid,Dophoff Tube,2
7179,amiodarone,GTUBE,2
7180,REGLAN,IM,2
7181,MAGNESIUM OXIDE,J TUBE,2
7182,docusate sodium,DEVICE,2
7183,calcium gluconate,DEVICE,2
7184,LORAZEPAM 1 MG PO TABS,Per NG tube,2
7185,NITROGLYCERIN,IVDRIP,2
7186,HYDROMORPHONE,Route,2
7187,METOPROLOL,Route,2
7188,1 EACH PACKAGE CUSTOM NDC : METOPROLOL TARTRATE 12.5 MG PO TABS (HALF-TAB),PER J TUBE,2
7189,DEXTROSE 50% 25 GRAM/50 ML SYR,IVPB,2
7190,WARFARIN SODIUM 2 MG PO TABS,PER TUBE,2
7191,FERROUS SULFATE,J-TUBE,2
7192,Protonix,INJ,2
7193,senna,PegTube,2
7194,20 ML VIAL : POTASSIUM CHLORIDE 2 MEQ/ML IV SOLN,CRRT,2
7195,ALPRAZOLAM 0.25 MG PO TABS,PER J TUBE,2
7196,ZOLPIDEM TARTRATE 5 MG PO TABS,Per G Tube,2
7197,MAGNESIUM HYDROXIDE 400 MG/5 ML ORAL SUSPENSION,Feeding Tube,2
7198,PREDNISONE 10 MG PO TABS,PER TUBE,2
7199,sodium chloride,INJ,2
7200,ALLOPURINOL,PEG TUBE,2
7201,azithromycin,PEG TUBE,2
7202,MAGNESIUM OXIDE 400 MG TAB,JTUBE,2
7203,TRAMADOL HCL 50 MG PO TABS,Nasogastric Tube,2
7204,METOPROLOL TARTRATE 25 MG TABLET,JTub,2
7205,POTASSIUM PHOSPHATE,J TUBE,2
7206,DIGOXIN 125 MCG PO TABS,Nasogastric Tube,2
7207,METFORMIN HCL 500 MG PO TABS,Per NG tube,2
7208,FOLIC ACID,IV (injection)                                                                                      ,2
7209,KLOR-CON,PO (oral)                                                                                           ,2
7210,LASIX,Intravenous,2
7211,SODIUM CHLORIDE,PEG,2
7212,NovoLOG,SL,2
7213,TYLENOL,PO (oral)                                                                                           ,2
7214,HALOPERIDOL,FT,2
7215,Levaquin,PEG,2
7216,AZITHROMYCIN,NG,2
7217,SOLU-MEDROL,IV (intravenous)                                                                                    ,2
7218,BUMETANIDE,IVDRIP,2
7219,MORPHINE INJECTION ORDERABLE,SubQ,2
7220,FAMOTIDINE 20 MG TAB,JPEG,2
7221,KEPPRA,OGT,2
7222,senna,PEG-tube,2
7223,SENOKOT-S TAB,GTUBE,2
7224,ALLOPURINOL,PO/NG,2
7225,FAMOTIDINE 20 MG PO TABS,Per J Tube,2
7226,GLYCOPYRROLATE,ORAL/TUBE,2
7227,GLUTOSE 15,NG,2
7228,BUFFERED LIDOCAINE 1%,Miscellaneou,2
7229,HALOPERIDOL 5 MG/1 ML 1 ML INJ,PO,2
7230,"VANCOMYCIN INJ 1,000 MG VIAL.",RECTAL,2
7231,FLAGYL,OGT,2
7232,zolpiDEM 5 MG TAB,GTUBE,2
7233,POTASSIUM & SODIUM PHOSPHATES 280-160-250 MG PO PACK,PER TUBE,2
7234,ALPRAZOLAM,J-TUBE,2
7235,METOCLOPRAMIDE HCL,NG-TUBE,2
7236,traZODone,NG or OG,2
7237,"HEPARIN (PORCINE) 5,000 UNIT/ML INJECTION : 1 ML VIAL",See Instruct,2
7238,3 ML VIAL : INSULIN REGULAR HUMAN 100 UNIT/ML IJ SOLN,IM,2
7239,clonazePAM,Other,2
7240,albumin human,IV Piggyback,2
7241,vancomycin,Irrigation,2
7242,BUMETANIDE,OG,2
7243,Zofran,IM/IV,2
7244,morphine,PEG-tube,2
7245,Zofran,SL,2
7246,senna,PO or NG,2
7247,warfarin,J-tube,2
7248,ALLOPURINOL,PEG,2
7249,HYDROCHLOROTHIAZIDE 25 MG PO TABS,Per G Tube,2
7250,FUROSEMIDE 20 MG PO TABS,Per J Tube,2
7251,cefTRIAXone,Intramuscular,2
7252,LIDOCAINE 1% 10MG/ML 20ML MDV INJ,Infiltration,2
7253,HALOPERIDOL 5 MG/1 ML 1 ML INJ,SubQ,2
7254,GLUCOSE 40% 15 GRAM BQ GEL,Ostomy,2
7255,levothyroxine,Dophoff Tube,2
7256,amLODIPine,NG,2
7257,LISINOPRIL 5 MG PO TABS,PER J TUBE,2
7258,DECADRON,See Instruct,2
7259,SPIRONOLACTONE,ORAL GASTR,2
7260,potassium chloride SA,Other,2
7261,phenylephrine,Each Nare,2
7262,acetaminophen,Other,2
7263,morphine sulfate 2 mg/ml ij/iv soln,IM,2
7264,polyethylene glycol,DEVICE,2
7265,clonazePAM,DEVICE,2
7266,sodium chloride 0.9 %,Intra-Catheter,2
7267,cloNIDine,ZPYXVEND,2
7268,nalOXone,ZPYXVEND,2
7269,HYDROCODONE-ACETAMINOPHEN 10-325 MG PO TABS,Gastric Tube (PEG),2
7270,ZOLPIDEM TARTRATE 5 MG PO TABS,PER J TUBE,2
7271,MULTIVITAMINS,NASOGASTRI,2
7272,POTASSIUM SODIUM PHOSPHATE PWDPKT,PR,2
7273,ALPRAZOLAM 0.5 MG PO TABS,Gastric Tube (PEG),2
7274,LEVOTHYROXINE SODIUM 75 MCG PO TABS,Gastric Tube (PEG),2
7275,NALOXONE,IV CONT,2
7276,LEVOTHYROXINE SODIUM 100 MCG PO TABS,Nasogastric Tube,2
7277,MIDAZOLAM,MISC,2
7278,MORPHINE 5 MG/ML INJECTION : 1 ML VIAL,IM,2
7279,LIDOCAINE 1%,MISC,2
7280,FERROUS SULFATE 325 (65 FE) MG PO TABS,Dobhoff Tube,2
7281,HYDRALAZINE HCL,TUBE,2
7282,FENTANYL CITRATE,IM,2
7283,LACTULOSE 20 GRAM/30 ML UD LIQ,PEG,2
7284,20 ML  -  LIDOCAINE HCL 1 % IJ SOLN,TP,2
7285,EPHEDRINE SULFATE,INTRAVEN,2
7286,LOPRESSOR,PEJ,2
7287,NEURONTIN,ND,2
7288,INSULIN-GLARGINE *UNIT* INJ,SVN,2
7289,WARFARIN SODIUM 2.5 MG PO TABS,Per G Tube,2
7290,SPIRONOLACTONE,NG-TUBE,2
7291,VANCOMYCIN HCL,PR,2
7292,diphenhydrAMINE,J-tube,2
7293,Coumadin,Vaginal,2
7294,ASPIRIN,GT,2
7295,POLYETHYLENE GLYCOL 3350 17 GRAM ORAL PWPK,J-Tube,2
7296,HYDROCHLOROTHIAZIDE,PO/NG,2
7297,ALLOPURINOL 100 MG PO TABS,Per G Tube,2
7298,famotidine,NG-tube,2
7299,LORazepam 2 MG/1 ML 1 ML SYR,SubQ,2
7300,Milk of Magnesia,GTUBE,2
7301,ASPIRIN,Route,2
7302,BISACODYL,.ROUTE,2
7303,fentaNYL citrate (PF),SUBCUTAN,2
7304,APRESOLINE,G Tube,2
7305,TRAZODONE HCL 50 MG PO TABS,Dobhoff Tube,2
7306,WARFARIN,NASOGASTRI,2
7307,metoprolol,Other,2
7308,METRONIDAZOLE 500 MG PO TABS,Dobhoff Tube,2
7309,FLOMAX,PO (oral)                                                                                           ,2
7310,CLOPIDOGREL,NG-TUBE,2
7311,HYDROMORPHONE,PEG,2
7312,ONDANSETRON HCL,IV                                                                                                  ,2
7313,LEVETIRACETAM,NGTUBE,2
7314,LORazepam 0.5 MG TAB,JTUBE,2
7315,metroNIDAZOLE,NG,2
7316,Sodium Chloride 0.9%,IVPB,2
7317,fentaNYL citrate (PF),INTRAMUSCU,2
7318,PREDNISONE,NG-TUBE,2
7319,FLOMAX,OGT,1
7320,HALDOL,OGT,1
7321,GLUCAGON,Route,1
7322,HumuLIN R,.ROUTE,1
7323,VANCOMYCIN,NG,1
7324,VANCOMYCIN,IL,1
7325,HALOPERIDOL,Route,1
7326,LABETALOL HCL,NG,1
7327,AMIODARONE HCL,STK,1
7328,DEXTROSE 50% SYRINGE,.ROUTE,1
7329,FUROSEMIDE 20 MG TAB,JPEG,1
7330,KETOROLAC TROMETHAMINE,OPTH RIGHT,1
7331,FUROSEMIDE 20 MG PO TABS,PER J TUBE,1
7332,BISACODYL 10 MG RECT SUPP,Transmucosal,1
7333,diphenhydrAMINE 25 MG CAP,JPEG,1
7334,GLUCAGON 1 MG (1 UNIT) INJ,Transmucosal,1
7335,MAGNESIUM OXIDE 400 MG TAB,"Nostrils, alternating",1
7336,ENOXAPARIN 30 MG/0.3 ML SYR,Soak,1
7337,CLONIDINE HCL 0.1 MG PO TABS,Sublingual,1
7338,WARFARIN SODIUM 4 MG PO TABS,PER TUBE,1
7339,LACTULOSE 20 GRAM/30 ML UD LIQ,JPEG,1
7340,SIMETHICONE  80 MG ORAL CHEW TAB,G/J tube,1
7341,CALCIUM CARBONATE 500 MG CHEW TAB,JPEG,1
7342,SODIUM BICARBONATE 8.4% (ADULT) SYR,Intratracheal,1
7343,1 EACH VIAL : ALTEPLASE 2 MG IJ SOLR,TUBE,1
7344,1 EACH VIAL : ALTEPLASE 2 MG IJ SOLR,IA,1
7345,1 ML  -  HYDROMORPHONE HCL 1 MG/ML IJ SOLN,IT,1
7346,10 ML  -  HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN,IS,1
7347,10 ML  -  HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN,IR,1
7348,1 ML VIAL : DEXAMETHASONE SODIUM PHOSPHATE 4 MG/ML IJ SOLN,OTHER,1
7349,insulin regular,IV,1
7350,INSULIN HUMAN REGULAR,IM,1
7351,EPINEPHrine,INJ,1
7352,LANOXIN,PO (oral)                                                                                           ,1
7353,INSULIN HUMALOG (PER UNIT),INTRAVEN,1
7354,senna,GTUBE,1
7355,sodium bicarbonate,G-Tube,1
7356,sodium bicarbonate,Feeding Tube,1
7357,SODIUM BICARBONATE 8.4% (ADULT) SYR,INH,1
7358,TACROLIMUS 1 MG PO CAPS,Gastric Tube (PEG),1
7359,POTASSIUM & SODIUM PHOSPHATES 280-160-250 MG PO PACK,Per J Tube,1
7360,albuterol,PO,1
7361,ALBUTEROL 2.5 MG/3 ML UD INH SOLN,IV Push,1
7362,ASPIRIN,zz,1
7363,ASPIRIN CHEWABLE,TF,1
7364,ASPIRIN 81 MG PO CHEW,Jejunostomy Tube,1
7365,BENADRYL,Topical (topical)                                                                                   ,1
7366,NYSTATIN,NG-TUBE,1
7367,NOVOLOG,See Instruct,1
7368,ZOSYN,IVPB,1
7369,ePHEDrine,IntraVENOUS,1
7370,potassium CHLORIDE 20 MEQ TR TAB,GTUBE,1
7371,GLUCOSE,CHEW,1
7372,PHENYLEPHRINE HCL,IM,1
7373,TAMSULOSIN,TUBE,1
7374,TAMSULOSIN,PEG,1
7375,FENTANYL CITRATE,Intravenous,1
7376,fentaNYL (PF) 50 MCG/1 ML 2 ML INJ,VAG,1
7377,fentaNYL (PF) 50 MCG/1 ML 2 ML SYR,IVPB,1
7378,docusate,PO or G-tube,1
7379,DOCUSATE SODIUM 100 MG PO CAPS,PER J TUBE,1
7380,docusate sodium (COLACE) cap 100 mg,JTUBE,1
7381,labetalol,PEG-tube,1
7382,LABETALOL HCL,JTUBE,1
7383,METOPROLOL TARTRATE  25 MG ORAL TAB,J-Tube,1
7384,KETOROLAC TROMETHAMINE,Intravenous,1
7385,ATENOLOL,NG-TUBE,1
7386,IPRATROPIUM BROMIDE 0.02 % IN SOLN,IN,1
7387,SOLU-MEDROL,IM,1
7388,SOLU-MEDROL,IV - brief infusion (injection)                                                                     ,1
7389,methylPREDNISolone 125 MG INJ,IM,1
7390,Flagyl,Feeding Tube,1
7391,Flagyl,PO or G-tube,1
7392,METRONIDAZOLE 500 MG PO TABS,PER J TUBE,1
7393,Ondansetron,INJ,1
7394,ondansetron,NG or OG,1
7395,meropenem,IV Piggyback,1
7396,NORMAL SALINE FLUSH,zz,1
7397,NORMAL SALINE FLUSH,INJ,1
7398,SODIUM CHLORIDE 0.9%,IRRG,1
7399,SODIUM CHLORIDE 0.9 % IV SOLP,Top,1
7400,SODIUM CHLORIDE 0.9% 1000 ML LVP,Intrauteral,1
7401,SODIUM CHLORIDE 0.9% 1000 ML LVP,N/A,1
7402,sodium chloride 0.9% (NS) infusion,Intra-arterial,1
7403,SODIUM CHLORIDE 0.9 % IV 1000 ML BAG,CRRT,1
7404,500 ML FLEX CONT : SODIUM CHLORIDE 0.9 % IV SOLN,Irrigation,1
7405,HYDROCHLOROTHIAZIDE,NG-TUBE,1
7406,metroNIDAZOLE 500 MG in 100ML RTU-PB,PR,1
7407,CALCIUM CARBONATE 500 MG CHEW TAB,PR,1
7408,Decadron,IM,1
7409,Decadron,NG-tube,1
7410,Tylenol,PO or SL,1
7411,Tylenol,IVPB,1
7412,ACETAMINOPHEN,IV - brief infusion (intravenous)                                                                   ,1
7413,ALLOPURINOL,NG,1
7414,furosemide (LASIX) tab 40 mg,GTUBE,1
7415,4 ml vial : furosemide 10 mg/ml ij soln,IM,1
7416,BUMETANIDE,NG-TUBE,1
7417,IPRATROPIUM-ALBUTEROL,IN,1
7418,ALPRAZolam,J-Tube,1
7419,NALOXONE,INJ,1
7420,CORDARONE,OGT,1
7421,Midazolam,Intravenous,1
7422,MIDAZOLAM 1 MG/ML INJ SOLN,IM,1
7423,hydrALAZINE,Other,1
7424,hydrALAZINE,Intramuscular,1
7425,HYDRALAZINE HCL 50 MG PO TABS,PEGTUBE,1
7426,hydrALAZINE 20 MG/1 ML 1 ML INJ,FT,1
7427,PROCHLORPERAZINE MALEATE 10 MG PO TABS,Per NG tube,1
7428,AMLODIPINE BESYLATE 5 MG PO TABS,PER J TUBE,1
7429,Levaquin,IV Piggyback,1
7430,LEVOFLOXACIN,ORAL GASTR,1
7431,Reglan,NG or OG,1
7432,metoCLOPRAMIDE 5 MG/1ML 2ML SDV INJ,FT,1
7433,COZAAR,PO (oral)                                                                                           ,1
7434,CLONAZEPAM,GT,1
7435,ONDANSETRON,SL,1
7436,TRAZODONE,SL,1
7437,traZODone,NASOGASTRI,1
7438,Lipitor,PEG-tube,1
7439,ATORVASTATIN 20 MG TAB,GTUBE,1
7440,ATORVASTATIN CALCIUM 20 MG PO TABS,Per J Tube,1
7441,HALOPERIDOL,SQ,1
7442,traMADol 50 MG TAB,PEG,1
7443,NEURONTIN,OG,1
7444,Benadryl,NG or OG,1
7445,Plavix,G-Tube,1
7446,LISINOPRIL 5 MG PO TABS,Dobhoff Tube,1
7447,GLUCAGON (HUMAN RECOMBINANT),SQ,1
7448,CEFEPIME,DEVICE,1
7449,SODIUM POLYSTYRENE SULFONATE,NASOGASTRI,1
7450,MORPHINE 4 MG/1 ML 1 ML SYR,Arterial,1
7451,morphine sulfate (pf) inj 2 mg,IM,1
7452,NITROGLYCERIN,IV (intravenous)                                                                                    ,1
7453,HYDROmorphone,IV/IM/SC,1
7454,HYDROmorphone,SC,1
7455,HYDROmorphone,Tube,1
7456,HYDROMORPHONE HCL,IV - continuous infusion (injection)                                                                ,1
7457,AMBIEN,ND,1
7458,ZOLPIDEM TARTRATE 5 MG PO TABS,Nasogastric Tube,1
7459,nalOXone,IM,1
7460,SIMVASTATIN,DEVICE,1
7461,SIMVASTATIN 40 MG PO TABS,Oral Gastric Tube,1
7462,Pepcid,NG or OG,1
7463,famotidine,PO or OG,1
7464,famotidine (PEPCID) (2 mg/mL) inj dilution 20 mg,IVPB,1
7465,CARDIZEM,J Tube,1
7466,DILTIAZEM,FT,1
7467,MORPHINE SULFATE,IV - continuous infusion (intravenous)                                                              ,1
7468,SEROQUEL,NG,1
7469,LIDOCAINE 1% PF,IV,1
7470,LIDOCAINE 1% 10MG/ML 20ML MDV INJ,Intra-articular,1
7471,SoluMedrol,PO,1
7472,METHYLPREDNISOLONE SODIUM SUCC 40 MG IJ SOLR,IM,1
7473,clindamycin,IntraMUSCULAR,1
7474,oxyCODONE,X,1
7475,BACITRACIN,BOTH EYES,1
7476,LIDOCAINE 1% PF,INFILTRATI,1
7477,ATROPINE 0.1 MG/ML SYRINGE : 10 ML SYRINGE,subCUT,1
7478,levetiracetam,Feeding Tube,1
7479,LEVETIRACETAM 500 MG PO TABS,NGT,1
7480,CLONIDINE HCL,EPIDURAL,1
7481,FERROUS SULFATE,GTUBE,1
7482,Coreg,PEG-tube,1
7483,DIPRIVAN,IV - continuous infusion (intravenous)                                                              ,1
7484,GLYCOPYRROLATE,GTUBE,1
7485,POTASSIUM AND SODIUM PHOSPHATE,DUODENAL,1
7486,LORazepam 1 MG TAB,JTUBE,1
7487,PANTOPRAZOLE,MT,1
7488,pantoprazole,GTUBE,1
7489,HEPARIN 5000 UNIT/ML 1ML INJ,Arterial,1
7490,"HEPARIN (PORCINE) 5,000 UNIT/ML INJECTION : 1 ML VIAL",Inhalation,1
7491,1 ML VIAL: HEPARIN SODIUM (PORCINE) 5000 UNIT/ML IJ SOLN,INTRACARDIAC,1
7492,WARFARIN,GTUBE,1
7493,WARFARIN,ORAL GASTR,1
7494,warfarin,MISC,1
7495,HumuLIN R,INJ,1
7496,PANTOPRAZOLE SODIUM,PEDAUR,1
7497,MEPERIDINE 25 MG/1 ML 1 ML SYR,Operative eye,1
7498,DIGOXIN,INJ,1
7499,SODIUM BICARBONATE 8.4% 50 ML INJ,N/A,1
7500,POTASSIUM SODIUM PHOSPHATE PWDPKT,PEG,1
7501,ALBUTEROL SULFATE (2.5 MG/3ML) 0.083% IN NEBU,NEB,1
7502,SODIUM CHLORIDE,OG,1
7503,LEVOTHYROXINE SODIUM 50 MCG PO TABS,Jejunostomy Tube,1
7504,POTASSIUM PHOSPHATE,PO (oral)                                                                                           ,1
7505,SODIUM CHLORIDE 0.9% 250 ML PB,Catheter,1
7506,DIAZEPAM 5 MG PO TABS,Dobhoff Tube,1
7507,DIAZEPAM,GTUBE,1
7508,AMIODARONE HCL,IV - brief infusion (intravenous)                                                                   ,1
7509,AMIODARONE,INTRAVENOUS,1
7510,Reglan,IV Push,1
7511,LACTULOSE,PEG,1
7512,traMADol,PEG,1
7513,Maalox,PegTube,1
7514,nitroglycerin,Rectal,1
7515,diltiazem,Other,1
7516,atropine,IM,1
7517,LEVETIRACETAM,IV (intravenous)                                                                                    ,1
7518,LORAZEPAM 0.5 MG PO TABS,Oral Gastric Tube,1
7519,PHENERGAN,IM/IV,1
7520,SODIUM BICARBONATE 8.4%,GASTRIC TU,1
7521,BISACODYL,NOTE,1
7522,ZOFRAN,IV                                                                                                  ,1
7523,MORPHINE SULFATE,IV - continuous infusion (injection)                                                                ,1
7524,LIPITOR,PEG,1
7525,"Sodium Chloride 0.9% 1,000 mL",IV Piggyback,1
7526,SENOKOT-S TAB,SL,1
7527,CHLORHEXIDINE GLUCONATE UD LIQ 15ML,GTUBE,1
7528,KEPPRA,See Instruct,1
7529,Ativan,J-tube,1
7530,FLUTICASONE-SALMETEROL 250-50 MCG/DOSE IN AEPB,Inhalation,1
7531,MIDAZOLAM INJ,NASAL,1
7532,METOCLOPRAMIDE HCL,IM,1
7533,MAGNESIUM HYDROXIDE,PEG-TUBE,1
7534,ONDANSETRON,IM/IV,1
7535,MIDAZOLAM 100 MG in 100 ML NS,IVPB,1
7536,metroNIDAZOLE,NG/PO,1
7537,MILK OF MAGNESIA UD LIQ 30 ML,TOP,1
7538,ONDANSETRON 2 MG/1 ML 2ML SDV INJ,IRR,1
7539,ONDANSETRON HCL,G-TUBE,1
7540,DILTIAZEM HCL,NG TUBE,1
7541,DILTIAZEM,PER_TUBE,1
7542,OXYCODONE IR,G-TUBE,1
7543,FLAGYL,PEJ,1
7544,METRONIDAZOLE 500 MG PO TABS,Per J Tube,1
7545,NALOXONE,ORAL,1
7546,DIPHENHYDRAMINE HCL,PEG-TUBE,1
7547,SYNTHROID,PEJ,1
7548,INSULIN-GLARGINE *UNIT* INJ,IV,1
7549,ATORVASTATIN,SL,1
7550,zolpiDEM 5 MG TAB,SL,1
7551,NYSTATIN,SW_SPIT,1
7552,CALCIUM CARBONATE 500 MG CHEW TAB,JTUBE,1
7553,CHLORHEXIDINE GLUCONATE 0.12%,PO,1
7554,GABAPENTIN 300 MG PO CAPS,PEG TUBE,1
7555,POLYETHYLENE GLYCOL 3350 17 GRAM ORAL POWDER PACKET,PER J TUBE,1
7556,SIMVASTATIN,Oral,1
7557,MAGNESIUM OXIDE,PEJ,1
7558,HYDROCORTISONE NA SUCCINATE PF 100 MG IJ SOLR,IT,1
7559,HEPARIN (PORCINE)  1000 UNIT/ML INJ SOLN,Catheter lock,1
7560,10 ML  -  NICARDIPINE HCL 2.5 MG/ML IV SOLN,VE,1
7561,fentaNYL,IM,1
7562,Milk of Magnesia,Feeding Tube,1
7563,acetaminophen,IV,1
7564,Bumex,IV Push,1
7565,Versed,Intravenous,1
7566,Versed,PO,1
7567,Levaquin,GTUBE,1
7568,propofol,IVP,1
7569,VANCOMYCIN HCL 1000 MG IV SOLR,PERIPH IV,1
7570,LORAZEPAM,SQ,1
7571,ONDANSETRON HCL,TUBE,1
7572,METOCLOPRAMIDE HCL,PEG-TUBE,1
7573,SPIRONOLACTONE,PER_TUBE,1
7574,Dilaudid,NG or OG,1
7575,metoclopramide,PEG-tube,1
7576,ondansetron,PegTube,1
7577,Flagyl,Feeding,1
7578,hydrALAZINE,J-tube,1
7579,Haldol,Feeding,1
7580,Benadryl,GTUBE,1
7581,levothyroxine,G-Tube,1
7582,pantoprazole,J-tube,1
7583,TOPROL XL,PEDCBI,1
7584,ATORVASTATIN 40 MG TAB,JPEG,1
7585,POLYETHYLENE GLYCOL 3350 UDPWD,Oral swab,1
7586,POLYETHYLENE GLYCOL 3350 UDPWD,Catheter,1
7587,ATENOLOL,PEG,1
7588,PREDNISONE 10 MG PO TABS,PEGTUBE,1
7589,amLODIPine 5 MG TAB,JTUBE,1
7590,CLOPIDOGREL BISULFATE,GT,1
7591,AZITHromycin 500 mg in NS 250 mL IV,INJ,1
7592,POTASSIUM CHLORIDE 20 MEQ/15ML (10%) PO LIQD,Oral,1
7593,ASPIRIN 81 MG CHEWABLE TABLET,JTub,1
7594,ASPIRIN EC 81 MG PO TBEC,Oral,1
7595,AMIODARONE 200 MG TABLET,Gtub,1
7596,AMLODIPINE BESYLATE 10 MG PO TABS,Per J Tube,1
7597,RESTORIL,ND,1
7598,ALLOPURINOL,INTRAVENOU,1
7599,diphenhydrAMINE HCl,NASOGASTRI,1
7600,ALPRAZolam,PO or NG,1
7601,cloNIDine,NG-tube,1
7602,Pepcid,Intravenous,1
7603,MORPHINE 4 MG/1 ML 1 ML SYR,JPEG,1
7604,LIDOCAINE 1% 10MG/ML 20ML MDV INJ,Intralesional,1
7605,GLUCOSE 40% 15 GRAM BQ GEL,PR,1
7606,MORPHINE 10 MG/1 ML 1 ML SYR,Intra-articular,1
7607,BISACODYL,ORAL/TUBE,1
7608,TYLENOL,PEDPO,1
7609,traMADol,NASOGASTRI,1
7610,metroNIDAZOLE,TOP,1
7611,amiodarone,Dophoff Tube,1
7612,Benadryl,NG,1
7613,ALPRAZOLAM 0.5 MG PO TABS,Per J Tube,1
7614,zolpidem,Tube,1
7615,CALCIUM GLUCONATE 10 % IV SOLN,IV PUSH,1
7616,furosemide (LASIX) inj 40 mg,IV,1
7617,Zofran,IRR,1
7618,senna,MISC,1
7619,PREDNISONE 5 MG PO TABS,PER J TUBE,1
7620,1 ML VIAL : HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN,Other,1
7621,AMLODIPINE BESYLATE,DEVICE,1
7622,MORPHINE SULFATE (PF) 4 MG/ML IV SOLN,SC,1
7623,METOCLOPRAMIDE HCL  5 MG/ML INJ SOLN,IM,1
7624,IPRATROPIUM 0.02%,.ROUTE,1
7625,EPHEDRINE SULFATE,Route,1
7626,levETIRAcetam,.ROUTE,1
7627,metroNIDAZOLE,.ROUTE,1
7628,PHENYLEPHRINE HCL,NASAL,1
7629,Sodium Chloride 0.9%,X,1
7630,HYDROMORPHONE HCL,INJ,1
7631,DEXAMETHASONE 4 MG PO TABS,PEG TUBE,1
7632,DIPHENHYDRAMINE HCL,IV/IM,1
7633,IBUPROFEN,GTUBE,1
7634,Lopressor,Intravenous,1
7635,GLUCOSE 15 GRAM/60 ML BQ LIQ,PR,1
7636,atorvastatin,Dophoff Tube,1
7637,famotidine,GTUBE,1
7638,LACTATED RINGERS IV SOLP,IR,1
7639,HYDROCORTISONE NA SUCCINATE PF 100 MG IJ SOLR,PERIPH IV,1
7640,1000 ML  -  SODIUM CHLORIDE 0.9 % IV SOLN,IP,1
7641,COUMADIN,J Tube,1
7642,ZOLPIDEM 5 MG TABLET,Gtub,1
7643,DIPHENHYDRAMINE HCL 50 MG/ML INJ SOLN,IM,1
7644,folic acid,J TUBE,1
7645,LEVOFLOXACIN,J TUBE,1
7646,ULTRAM,J Tube,1
7647,MORPHINE 5 MG/ML INJECTION : 1 ML VIAL,See Instruct,1
