,diagnosisstring,icd9code
2954,infectious diseases|chest/pulmonary infections|pneumonia|community-acquired|bacterial|staph aureus,"482.41, J15.21"
2955,neurologic|disorders of vasculature|increased intracranial pressure|with herniation syndrome|uncal,"348.4, G93.5"
2956,neurologic|neuromuscular disorders|motor neuropathy|myasthenia gravis|with respiratory involvement,358.00
2957,pulmonary|disorders of vasculature|pulmonary hemorrhage|due to vasculitis|Wegener's granulomatosis,"786.3, 446.4, M31.30, R04.9"
2958,pulmonary|respiratory failure|Tracheostomy performed during this admission for ventilatory support,31.1
2959,pulmonary|respiratory failure|acute respiratory failure|due to neurological process|Guillain-Barre,"518.81, J96.00"
2960,pulmonary|respiratory failure|acute respiratory failure|due to neurological process|encephalopathy,"518.81, J96.00"
2961,transplant|s/p bone marrow transplant|graft-versus-host disease  -  bone marrow transplant|chronic,"996.85, T86.00"
2962,cardiovascular|chest pain / ASHD|acute coronary syndrome|s/p PTCA|with stent placement|drug-eluting,
2963,cardiovascular|shock / hypotension|sepsis|sepsis with single organ dysfunction- acute renal failure,"038.9, 584.9, R65.20, N17"
2964,cardiovascular|ventricular disorders|acute pulmonary edema|due to myocardial ischemia or infarction,"428.1, I50.1"
2965,cardiovascular|ventricular disorders|congestive heart failure|combined systolic and diastolic|acute,"428.41, I50.41"
2966,cardiovascular|ventricular disorders|congestive heart failure|right-sided|due to left heart failure,"428.0, I50.9"
2967,infectious diseases|chest/pulmonary infections|pneumonia|community-acquired|bacterial|group A strep,"482.31, J15.4"
2968,neurologic|neuromuscular disorders|motor neuropathy|Guillain-Barre syndrome|with bulbar involvement,"357.0, G61.0"
2969,obstetrics/gynecology|delivery/indication for care|fetal/placental problem affecting mgmt of mother,
2970,pulmonary|disorders of the airways|upper respiratory obstruction|due to angioedema|with anaphylaxis,995.0
2971,renal|disorder of urinary tract / renal system infection|lower urinary tract infection|known fungal,"595.9, N30.9"
2972,cardiovascular|shock / hypotension|sepsis|sepsis with single organ dysfunction-acute hepatic failure,"038.9, 570, R65.20, K72.0"
2973,endocrine|fluids and electrolytes|hyponatremia|due to elevated ADH levels|from tumor other than lung,"276.1, E87.1"
2974,gastrointestinal|intestinal disease|vascular insufficiency of intestine|ischemic enterocolitis|acute,"557.0, K55.0"
2975,infectious diseases|GI infections|intra-abdominal abscess|intestinal|from inflammatory bowel disease,569.5
2976,infectious diseases|chest/pulmonary infections|pneumonia|community-acquired|atypical organism likely,"486, J18.9"
2977,"infectious diseases|skin, bone and joint infections|osteomyelitis|vertebral|from hematogenous spread","730.28, M46.20"
2978,neurologic|disorders of vasculature|increased intracranial pressure|with herniation syndrome|central,"348.4, G93.5"
2979,neurologic|disorders of vasculature|stroke|hemorrhagic stroke|subarachnoid hemorrhage|with vasospasm,"435.9, 430, I60.9, G45.9"
2980,neurologic|infectious disease of nervous system|meningitis|chronic|non-infectious|multiple sclerosis,"340, G35"
2981,obstetrics/gynecology|obstetrics complication|complication of/in pregnancy|complication of pregnancy,
2982,pulmonary|respiratory failure|acute respiratory failure|drug related|residual neuromuscular blockade,"518.5, J96.00"
2983,renal|disorder of urinary tract / renal system infection|lower urinary tract infection|likely fungal,"595.9, N30.9"
2984,surgery|acute cardiac problems|acute coronary syndrome|acute myocardial infarction (no ST elevation),"410.70, I21.4"
2985,cardiovascular|ventricular disorders|congestive heart failure|combined systolic and diastolic|chronic,"428.42, I50.42"
2986,gastrointestinal|intestinal disease|GI obstruction / ileus|small bowel obstruction|pseudo-obstruction,"560.9, K56.60"
2987,gastrointestinal|intestinal disease|vascular insufficiency of intestine|due to veno-occlusive disease,"557.9, K55.9"
2988,hematology|transfusion medicine|transfusion reaction|transfusion associated acute lung injury (TRALI),"999.8, J95.84"
2989,neurologic|neuromuscular disorders|motor neuropathy|neuromuscular blocker associated motor neuropathy,"357.6, E945.2, G62.0"
2990,pulmonary|disorders of the airways|mechanical airway problem|non-mechanical tracheostomy complication,"519.09, J95.09"
2991,pulmonary|respiratory failure|acute respiratory failure|due to neurological process|myasthenia gravis,"518.81, J96.00"
2992,cardiovascular|chest pain / ASHD|acute coronary syndrome|acute myocardial infarction (no ST elevation),"410.71, I21.4"
2993,cardiovascular|shock / hypotension|sepsis|sepsis with single organ dysfunction- critical care myopathy,"038.9, 359.81, R65.20, G72.81"
2994,gastrointestinal|abdominal/ general|intra-abdominal abscess|intestinal|from inflammatory bowel disease,"569.5, K63.0"
2995,gastrointestinal|intestinal disease|GI obstruction / ileus|small bowel obstruction|incarcerated hernia,"560.9, K56.60"
2996,gastrointestinal|intestinal disease|vascular insufficiency of intestine|due to atherosclerotic disease,"557.9, K55.9"
2997,"hematology|bleeding and red blood cell disorders|anemia|relative anemia, including anemia of pregnancy","285.9, D64.9"
2998,infectious diseases|chest/pulmonary infections|pneumonia|hospital acquired (not ventilator-associated),"486, J18.9"
2999,neurologic|disorders of vasculature|increased intracranial pressure|with herniation syndrome|brainstem,"348.4, G93.5"
3000,neurologic|neuromuscular disorders|motor neuropathy|Guillain-Barre syndrome|with autonomic dysfunction,"357.0, G61.0"
3001,pulmonary|respiratory failure|acute respiratory failure|due to neurological process|spinal cord injury,"518.81, J96.00"
3002,renal|disorder of urinary tract / renal system infection|lower urinary tract infection|known bacterial,"595.9, N30.9"
3003,renal|disorder of urinary tract / renal system infection|upper urinary tract infection|known bacterial,"590.10, N10"
3004,cardiovascular|infection|endocarditis - native valve|non-viridans streptococci (including enterococcus),"421.0, 041.09, B95.4, I33.0"
3005,cardiovascular|shock / hypotension|hypovolemic shock|inadequate intravascular volume w/o ongoing hemorr,"785.59, R57.1"
3006,infectious diseases|chest/pulmonary infections|pneumonia|community-acquired|bacterial|gram negative rod,"482.83, J15.6"
3007,infectious diseases|chest/pulmonary infections|pneumonia|community-acquired|viral|respiratory syncytial,"079.6, B97.4"
3008,infectious diseases|head and neck infections|abscess - head and neck|orbital|with associated cellulitis,"376.01, H05.019"
3009,obstetrics/gynecology|delivery/indication for care|complication of labor/delivery|postpartum hemorrhage,
3010,renal|disorder of urinary tract / renal system infection|lower urinary tract infection|likely bacterial,"595.9, N30.9"
3011,renal|disorder of urinary tract / renal system infection|upper urinary tract infection|likely bacterial,"590.10, N10"
3012,cardiovascular|chest pain / ASHD|acute coronary syndrome|acute myocardial infarction (with ST elevation),"410.90, I21.3"
3013,cardiovascular|shock / hypotension|sepsis|sepsis with single organ dysfunction- congestive heart failure,"038.9, 428.0, R65.20, I50.9"
3014,cardiovascular|shock / hypotension|sepsis|sepsis with single organ dysfunction- metabolic encephalopathy,"038.9, 348.31, R65.20, G93.41"
3015,neurologic|disorders of vasculature|stroke|hemorrhagic stroke|subarachnoid hemorrhage|with hydrocephalus,"430, 331.3, G91.0, I60.9"
3016,neurologic|infectious disease of nervous system|CNS abscess|spinal epidural|with spinal cord dysfunction,"324.1, G06.1"
3017,neurologic|neuromuscular disorders|motor neuropathy|Guillain-Barre syndrome|with respiratory involvement,"357.0, G61.0"
3018,cardiovascular|shock / hypotension|sepsis|sepsis with single organ dysfunction- acute respiratory failure,"038.9, 518.81, R65.20, J96.0"
3019,hematology|bleeding and red blood cell disorders|anemia|iron deficiency anemia secondary to chronic blood,"280.0, D50.0"
3020,"infectious diseases|skin, bone and joint infections|osteomyelitis|vertebral|after neurosurgical procedure","730.28, M46.20"
3021,"infectious diseases|vascular infections|vascular catheter infection|vascular catheter infection, tunneled","996.62, T85.7"
3022,obstetrics/gynecology|obstetrics complication|complication of/in pregnancy|infective disease in pregnancy,
3023,cardiovascular|shock / hypotension|sepsis|sepsis with single organ dysfunction- circulatory system failure,"038.9, 785.52, R65.21"
3024,endocrine|pituitary and temperature regulation|central diabetes insipidus|from primary or metastatic tumor,"253.5, E23.2"
3025,infectious diseases|head and neck infections|abscess - head and neck|parapharyngeal|with airway compromise,"478.22, J39.0"
3026,neurologic|infectious disease of nervous system|meningitis|chronic|non-infectious|metabolic encephalopathy,"322.2, G03.1"
3027,pulmonary|respiratory failure|acute respiratory failure|due to neurological process|brain stem dysfunction,"518.81, J96.00"
3028,surgery|general surgery postop issues|surgical complication|complication relating to specific procedure(s),
3029,cardiovascular|infection|endocarditis - prosthetic valve|non-viridans streptococci (including enterococcus),"996.61, 421.0, 041.09, B95.4, I33.0"
3030,hematology|oncology and leukemia|myeloproliferative disorder|chronic myeloproliferative disorder (clinical),"238.7, D47.1"
3031,infectious diseases|head and neck infections|abscess - head and neck|ludwig's angina|with airway compromise,"478.29, J39.2"
3032,infectious diseases|head and neck infections|abscess - head and neck|retropharyngeal|with airway compromise,"478.24, J39.0"
3033,pulmonary|disorders of acid base|respiratory acidosis|due to CNS depression|related to drugs or medications,"276.2, E87.2"
3034,"infectious diseases|skin, bone and joint infections|septic arthritis|monoarticular|bacterial, non-gonococcal","711.00, M00.9"
3035,neurologic|disorders of vasculature|stroke|hemorrhagic stroke|subarachnoid hemorrhage|from cavernous angioma,"430, I60.9"
3036,"infectious diseases|vascular infections|vascular catheter infection|vascular catheter infection, non-tunneled","996.62, T85.7"
3037,pulmonary|pulmonary infections|pneumonia|hospital acquired (not ventilator-associated)|bacterial|H influenzae,"482.2, J14"
3038,pulmonary|pulmonary infections|pneumonia|hospital acquired (not ventilator-associated)|bacterial|pneumococcus,"481, J13"
3039,pulmonary|pulmonary infections|pneumonia|hospital acquired (not ventilator-associated)|bacterial|staph aureus,"482.41, J15.21"
3040,pulmonary|respiratory failure|failure to wean|due to generalized weakness|due to myopathy of critical illness,
3041,cardiovascular|ventricular disorders|congestive heart failure|combined systolic and diastolic|acute on chronic,"428.43, I50.43"
3042,infectious diseases|systemic/other infections|sepsis|sepsis with single organ dysfunction- acute renal failure,"038.9, 584.9, R65.20, N17"
3043,pulmonary|disorders of lung parenchyma|interstitial lung disease|ILD associated with collagen vascular disease,"517.8, J99"
3044,pulmonary|pulmonary infections|pneumonia|hospital acquired (not ventilator-associated)|bacterial|group A strep,"482.31, J15.4"
3045,surgery|infections|signs and symptoms of sepsis (SIRS)|due to non-infectious process without organ dysfunction,"995.93, R65.10"
3046,infectious diseases|vascular infections|endocarditis - native valve|other streptococci (including enterococcus),"421.0, 041.09, B95.4, I33.0"
3047,neurologic|disorders of the spinal cord and peripheral nervous system|spinal cord compression|secondary to disc,"336.9, G95.2"
3048,pulmonary|pulmonary infections|pneumonia|hospital acquired (not ventilator-associated)|atypical organism likely,"486, J18.9"
3049,hematology|oncology and leukemia|myelodysplastic syndrome|refractory anemia with excess blasts in transformation,"238.7, D46.20"
3050,hematology|white blood cell disorders|myeloproliferative disorder|chronic myeloproliferative disorder (clinical),"238.7, D47.1"
3051,renal|disorder of urinary tract / renal system infection|lower urinary tract infection|with in-dwelling catheter,"595.9, N30.9"
3052,neurologic|disorders of vasculature|stroke|hemorrhagic stroke|subarachnoid hemorrhage|from ruptured berry aneurysm,"430, I60.9"
3053,pulmonary|pulmonary infections|pneumonia|hospital acquired (not ventilator-associated)|bacterial|gram negative rod,"482.83, J15.6"
3054,cardiovascular|chest pain / ASHD|acute coronary syndrome|acute myocardial infarction (with ST elevation)|other site,"410.81, I21.29"
3055,infectious diseases|systemic/other infections|sepsis|sepsis with single organ dysfunction- congestive heart failure,"038.9, 428.0, R65.20, I50.9"
3056,infectious diseases|systemic/other infections|sepsis|sepsis with single organ dysfunction- metabolic encephalopathy,"038.9, 348.31, R65.20, G93.41"
3057,infectious diseases|vascular infections|endocarditis - prosthetic valve|other streptococci (including enterococcus),"041.09, 996.61, 421.0, B95.4, I33.0"
3058,neurologic|disorders of vasculature|stroke|hemorrhagic stroke|subarachnoid hemorrhage|from ruptured AV malformation,"430, I60.9"
3059,"obstetrics/gynecology|obstetrics complication|complication of/in pregnancy|condition/status, complicating pregnancy",
3060,pulmonary|respiratory failure|failure to wean|due to generalized weakness|due to polyneuropathy of critical illness,
3061,renal|disorder of urinary tract / renal system infection|lower urinary tract infection|without in-dwelling catheter,"595.9, N30.9"
3062,infectious diseases|systemic/other infections|sepsis|sepsis with single organ dysfunction- acute respiratory failure,"038.9, 518.81, R65.20, J96.0"
3063,cardiovascular|chest pain / ASHD|acute coronary syndrome|acute myocardial infarction (with ST elevation)|lateral wall,"410.51, I21.29"
3064,infectious diseases|systemic/other infections|sepsis|sepsis with single organ dysfunction- circulatory system failure,"038.9, 785.52, R65.21"
3065,neurologic|disorders of the spinal cord and peripheral nervous system|spinal cord compression|secondary to metastasis,"336.9, G95.2"
3066,cardiovascular|chest pain / ASHD|acute coronary syndrome|acute myocardial infarction (with ST elevation)|anterior wall,"410.11, I21.09"
3067,cardiovascular|chest pain / ASHD|acute coronary syndrome|acute myocardial infarction (with ST elevation)|inferior wall,"410.41, I21.19"
3068,cardiovascular|chest pain / ASHD|acute coronary syndrome|unstable angina|due to progression of CAD with stent in place,"411.1, 414.01, I20.0"
3069,gastrointestinal|intestinal disease|GI obstruction / ileus|obstruction of colon|acute dilatation of the colon syndrome,"564.7, K59.3"
3070,cardiovascular|chest pain / ASHD|acute coronary syndrome|acute myocardial infarction (with ST elevation)|posterior wall,"410.61, I21.29"
3071,cardiovascular|shock / hypotension|signs and symptoms of sepsis (SIRS)|due to infectious process with organ dysfunction,"995.92, R65.2"
3072,cardiovascular|chest pain / ASHD|acute coronary syndrome|acute myocardial infarction (with ST elevation)|right ventricle,"410.81, I21.29"
3073,cardiovascular|shock / hypotension|signs and symptoms of sepsis (SIRS)|due to infectious process without organ dysfunction,"995.91, R65"
3074,cardiovascular|chest pain / ASHD|acute coronary syndrome|acute myocardial infarction (with ST elevation)|inferolateral wall,"410.21, I21.19"
3075,cardiovascular|shock / hypotension|signs and symptoms of sepsis (SIRS)|due to non-infectious process with organ dysfunction,"995.94, R65.11"
3076,neurologic|disorders of the spinal cord and peripheral nervous system|spinal cord compression|secondary to epidural abscess,"324.1, 336.9, G06.1"
3077,neurologic|disorders of the spinal cord and peripheral nervous system|spinal cord compression|secondary to epidural hematoma,"336.9, G95.2"
3078,cardiovascular|chest pain / ASHD|acute coronary syndrome|acute myocardial infarction (with ST elevation)|inferoposterior wall,"410.31, I21.11"
3079,cardiovascular|shock / hypotension|signs and symptoms of sepsis (SIRS)|due to non-infectious process without organ dysfunction,"995.93, R65.10"
3080,cardiovascular|chest pain / ASHD|acute coronary syndrome|acute myocardial infarction (no ST elevation)|due to stent complication,"996.72, 410.71, I21.4"
3081,burns/trauma|trauma - CNS|intracranial injury|with loss of consciousness >24 hours|without return to pre-existing conscious level,854.05
3082,infectious diseases|systemic/other infections|signs and symptoms of sepsis (SIRS)|due to infectious process with organ dysfunction,"995.92, R65.2"
3083,infectious diseases|systemic/other infections|signs and symptoms of sepsis (SIRS)|due to infectious process without organ dysfunction,"995.91, R65"
3084,infectious diseases|systemic/other infections|signs and symptoms of sepsis (SIRS)|due to non-infectious process with organ dysfunction,"995.94, R65.11"
3085,infectious diseases|systemic/other infections|signs and symptoms of sepsis (SIRS)|due to non-infectious process without organ dysfunction,"995.93, R65.10"
3086,cardiovascular|chest pain / ASHD|acute coronary syndrome|acute myocardial infarction (with ST elevation)|inferior wall|with conduction disturbance,"410.41, 426.9, I21.19, I45.9"
3087,cardiovascular|chest pain / ASHD|acute coronary syndrome|acute myocardial infarction (no ST elevation)|due to progression of CAD with stent in place,"410.71, 414.01, I21.4, I25.10"
3088,endocrine|thymus|thymus disorder,
3089,neurologic|misc|headache|cluster,"346.20, G44.00"
3090,surgery|infections|cholecystitis,"575.10, K81.0"
3091,surgery|acute cardiac problems|SVT,"427.0, I47.1"
3092,burns/trauma|burns|electrical injury,
3093,endocrine|diagnostic studies|CT scan,
3094,oncology|chest tumors|breast CA|male,"175.9, C50.929"
3095,pulmonary|trauma|widened mediastinum,
3096,surgery|obstetrics|ectopic pregnancy,
3097,surgery|cardiac surgery|arrhythmia|SVT,"427.0, I47.1"
3098,pulmonary|trauma|airway trauma|tracheal,
3099,surgery|infections|abscess of esophagus,"530.10, K20.9"
3100,burns/trauma|dermatology|TEN / pemphigus,"694.4, L10.9"
3101,pulmonary|pleural disorders|mesothelioma,
3102,gastrointestinal|inflammatory|hemorrhoids,
3103,surgery|altered mental status / pain|coma,"780.01, R40.20"
3104,surgery|other surgery|s/p adrenal surgery,
3105,oncology|CNS tumors|brain tumor|ependymoma,"191.9, C71.9"
3106,surgery|neurosurgical issues|hyperglycemia,
3107,endocrine|endocrine tumors|pheochromocytoma,
3108,surgery|altered mental status / pain|stupor,"780.09, R40.1"
3109,surgery|infections|cellulitis|head and neck,"682.9, L03.90"
3110,oncology|head and neck tumors|eye tumor|left,"190.9, C69.90"
3111,endocrine|adrenal disorders|hypoaldosteronism,"255.5, E27.49"
3112,infectious diseases|GI infections|esophagitis,"530.10, K20.9"
3113,musculoskeletal|connective tissue |rheumatism,
3114,pulmonary|trauma|airway trauma|bronchial|left,
3115,surgery|cardiac surgery|pleural effusion|left,"511.9, J91.8"
3116,general|quality measures|discharged on aspirin,
3117,infectious diseases|CNS infections|CNS abscess,
3118,pulmonary|trauma|traumatic injury of esophagus,"862.22, S27.81"
3119,surgery|cardiac surgery|arrhythmia|bradycardia,"427.81, R00.1"
3120,surgery|infections|vascular catheter infection,"996.62, T85.7"
3121,endocrine|thyroid|thyroid storm|Grave's disease,"242.01, E05.01"
3122,infectious diseases|GU infections|renal abscess,"590.2, N15.1"
3123,burns/trauma|trauma - skeletal|dislocation|elbow,S53.00
3124,cardiovascular|arrhythmias|AV block|due to drugs,"426.10, I44.30"
3125,pulmonary|pulmonary infections|lung abscess|left,"513.0, J85.2"
3126,surgery|infections|necrotizing fasciitis|post-op,"728.86, M72.6"
3127,surgery|infections|septic shock|cultures pending,"785.59, R65.21"
3128,surgery|renal issues|metabolic acidosis|moderate,"276.2, E87.2"
3129,burns/trauma|burns|burn of gastrointestinal tract,947.3
3130,burns/trauma|trauma-other injuries|open wound|ear,
3131,pulmonary|pleural disorders|empyema|postoperative,"510.9, 998.59, J86.9"
3132,burns/trauma|trauma - chest|airway trauma|tracheal,
3133,burns/trauma|trauma - skeletal|dislocation|scapula,S43.31
3134,genitourinary|male disease|orchitis & epididymitis,
3135,renal|disorder of urinary tract|urethral stricture,
3136,renal|electrolyte imbalance|hypocalcemia|suspected,
3137,surgery|infections|intra-abdominal abscess|hepatic,"572.0, K75.0"
3138,surgery|neurosurgical issues|neuosurgical bleeding,"998.11, T88"
3139,burns/trauma|trauma - skeletal|dislocation|hip|open,"835.10, S73.00"
3140,general|immunological diseases|polyarteritis nodosa,"446.0, M30.0"
3141,infectious diseases|chest/pulmonary infections|SARS,"480.8, J12.89"
3142,surgery|infections|septic shock|organism identified,"785.59, 038.9, 995.92, R65.21"
3143,gastrointestinal|oral cavity disease|dental disorder,
3144,infectious diseases|GI infections|esophagitis|herpes,"530.10, K20.9"
3145,neurologic|CNS mass lesions|brain abscess|cerebellar,"324.0, G06.0"
3146,renal|electrolyte imbalance|hypomagnesemia|suspected,
3147,endocrine|endocrine tumors|pheochromocytoma|suspected,
3148,gastrointestinal|trauma|traumatic injury of esophagus,S27.81
3149,general|quality measures|discharge instructions given,
3150,infectious diseases|GI infections|viral hepatitis|CMV,"573.1, 078.5, B25.1"
3151,neurologic|disorders of vasculature|TIA|atheroembolic,"435.9, G45.9"
3152,neurologic|sensory organ|eye/adnexa disorder|glaucoma,
3153,surgery|altered mental status / pain|agitation|severe,"308.2, F43.0"
3154,surgery|obstetrics|vaginal hemorrhage|placenta previa,"641.10, O44.10"
3155,burns/trauma|burns|burn injury|30-39 % of body surface,946.0
3156,burns/trauma|burns|burn injury|50-59 % of body surface,946.0
3157,burns/trauma|burns|burn injury|60-69 % of body surface,946.0
3158,burns/trauma|trauma - CNS|nerve injury|brachial plexus,"767.6, P14.3"
3159,hematology|oncology and leukemia|plasma cell disorders,"203.00, C90.00"
3160,infectious diseases|GI infections|esophagitis|candidal,"530.10, K20.9"
3161,surgery|acute cardiac problems|hypertension|controlled,"401.9, I10"
3162,surgery|cardiac surgery|arrhythmia|atrial fibrillation,"427.31, I48.0"
3163,transplant|s/p lung transplant|fever - lung transplant,"996.84, T86.819"
3164,burns/trauma|trauma - chest|airway trauma|tracheal|open,874.12
3165,burns/trauma|trauma - skeletal|bone fracture(s)|ischium,S32.60
3166,pulmonary|disorders of vasculature|pulmonary vasculitis,"417.8, I28.8"
3167,surgery|acute cardiac problems|ventricular fibrillation,"427.41, I49.01"
3168,surgery|altered mental status / pain|agitation|moderate,"308.2, F43.0"
3169,surgery|altered mental status / pain|sedated|responsive,
3170,surgery|cardiac surgery|sternotomy problems|instability,"998.31, T81.3"
3171,surgery|plastic surgery|s/p breast augmentation surgery,
3172,surgery|renal issues|hyponatremia|severe (< 125 meq/dl),"276.1, E87.1"
3173,cardiovascular|arrhythmias|atrial flutter|1:3 conduction,"427.32, I48.1"
3174,cardiovascular|pericardial diseases|pericarditis|post-MI,"411.0, I24.1"
3175,endocrine|adrenal disorders|Cushing's syndrome|pituitary,"255.0, E24.0"
3176,endocrine|fluids and electrolytes|SIADH|from CNS process,"253.6, E22.2"
3177,burns/trauma|trauma - skeletal|bone fracture(s)|ribs|open,"807.10, S22.4"
3178,gastrointestinal|transplant|pancreas-transplant rejection,"996.86, T86.90"
3179,hematology|coagulation disorders|DVT|clinically suspected,
3180,infectious diseases|GI infections|cholangitis|suppurative,"576.1, K83.0"
3181,renal|disorder of acid base|metabolic alkalosis|suspected,
3182,surgery|cardiac surgery|pericardial problems|pericarditis,"420.90, I30.9"
3183,surgery|renal issues|acute renal failure|etiology unknown,"584.9, N17.9"
3184,surgery|respiratory failure|ventilatory failure|suspected,
3185,gastrointestinal|GI bleeding / PUD|upper GI bleeding|tumor,"578.9, K92.2"
3186,infectious diseases|CNS infections|neurovascular infection,
3187,renal|disorder of acid base|respiratory acidosis|suspected,
3188,renal|electrolyte imbalance|hypercalcemia|etiology unknown,"275.42, E83.52"
3189,renal|electrolyte imbalance|hypomagnesemia|due to diuresis,"275.2, E83.42"
3190,surgery|other surgery|s/p adrenal surgery|pheochromocytoma,
3191,cardiovascular|cardiac surgery|post-pericardiotomy syndrome,"420.90, I30.9"
3192,endocrine|fluids and electrolytes|hyperkalemia|due to drugs,"276.7, E87.5"
3193,endocrine|thyroid|hyperthyroidism|toxic multinodular goiter,"242.20, E05.20"
3194,gastrointestinal|intestinal disease|enteric fistula|biliary,"576.4, K83.3"
3195,gastrointestinal|intestinal disease|enteric fistula|gastric,"537.4, K31.6"
3196,gastrointestinal|trauma|traumatic injury of esophagus|blunt,"862.22, S27.81"
3197,infectious diseases|systemic/other infections|AIDS|with MAC,"042, B20"
3198,surgery|cardiac surgery|atelectasis|expected postop finding,"518.0, J98.11"
3199,surgery|cardiac surgery|low cardiac output state|due to CPB,"997.1, I97.89"
3200,surgery|cardiac surgery|myocardial infarction|graft-related,"997.1, I21.3"
3201,surgery|orthopedic surgery|s/p shoulder surgery|replacement,
3202,surgery|renal issues|acute renal failure|due to obstruction,"584.9, N17.9"
3203,"burns/trauma|dermatology|rash, infectious|candida dermatitis","112.3, B37.2"
3204,burns/trauma|trauma-other injuries|contusion|face/scalp/neck,
3205,endocrine|fluids and electrolytes|diabetes insipidus|central,"253.5, E23.2"
3206,gastrointestinal|biliary disease|cholecystitis|emphysematous,"575.0, K81.0"
3207,neurologic|CNS mass lesions|brain abscess|neurocysticercosis,"324.0, B69.0"
3208,renal|abnormality of urine quantity or quality|myoglobinuria,"791.3, R82.1"
3209,renal|electrolyte imbalance|hypermagnesemia|etiology unknown,"275.2, E83.41"
3210,surgery|general surgery postop issues|enteric fistula|rectal,"565.1, K60.4"
3211,surgery|thoracic surgery|uncontrolled pain-epidural in place,
3212,transplant|s/p lung transplant|hypotension - lung transplant,"996.84, T86.819"
3213,burns/trauma|trauma-other injuries|crushing injury|lower limb,
3214,burns/trauma|trauma-other injuries|superficial injury|hip/leg,
3215,cardiovascular|cardiac surgery|valve repair < 7 days|pulmonic,
3216,endocrine|fluids and electrolytes|hypomagnesemia|due to drugs,"275.2, E83.42"
3217,infectious diseases|GI infections|viral hepatitis|hepatitis B,"070.51, 573.1, B19.10"
3218,neurologic|disorders of vasculature|TIA|posterior circulation,"435.9, G45.9"
3219,surgery|cardiac surgery|hemorrhage|known coagulopathy present,"998.11, T88"
3220,surgery|general surgery postop issues|enteric fistula|gastric,"537.4, K31.6"
3221,surgery|renal issues|hypokalemia|moderate ( 2.8 - 3.5 meq/dl),"276.8, E87.6"
3222,surgery|respiratory failure|ARDS|pulmonary etiology|pneumonia,"518.81, J80"
3223,transplant|s/p heart transplant|hemorrhage - heart transplant,"996.83, T86.20"
3224,cardiovascular|pericardial diseases|pericarditis|mycobacterial,"017.90, 420.0, A18.84"
3225,cardiovascular|vascular disorders|arterial thromboembolism|CNS,"434.90, I66.9"
3226,cardiovascular|vascular disorders|superficial thrombophlebitis,
3227,hematology|transfusion medicine|transfusion reaction|hemolytic,"999.8, T80.91"
3228,surgery|acute cardiac problems|bradycardia|sick sinus syndrome,"427.81, I49.5"
3229,surgery|cardiac surgery|neurological dysfunction following CPB,"997.00, I97.89"
3230,surgery|infections|lower urinary tract infection|likely fungal,"595.9, N30.9"
3231,surgery|renal issues|hypernatremia|moderate (146 - 155 meq/dl),"276.0, E87.0"
3232,surgery|respiratory failure|ARDS|pulmonary etiology|aspiration,"518.81, J80"
3233,surgery|vascular surgery|hemorrhage|known coagulopathy present,998.11
3234,burns/trauma|trauma - chest|traumatic injury of esophagus|blunt,"862.22, S27.81"
3235,burns/trauma|trauma - skeletal|bone fracture(s)|depressed skull,
3236,cardiovascular|pericardial diseases|pericardial effusion|uremic,"423.9, I31.9"
3237,endocrine|fluids and electrolytes|hypocalcemia|etiology unknown,"275.41, E83.51"
3238,endocrine|fluids and electrolytes|hypokalemia|due to renal loss,"276.8, E87.8"
3239,hematology|coagulation disorders|arterial thromboembolism|bowel,"557.0, K55.0"
3240,"pulmonary|pleural disorders|empyema|bacterial|aerobic, no staph","510.9, J86.9"
3241,burns/trauma|trauma - chest|thoracic duct injury|with chyle leak,
3242,"cardiovascular|ventricular disorders|cardiac injury, penetrating",861.10
3243,pulmonary|disorders of acid base|respiratory alkalosis|suspected,
3244,pulmonary|pleural disorders|empyema|associated with lung abscess,"513.0, 510.9, J86.9"
3245,surgery|altered mental status / pain|persistent vegetative state,"780.03, R40.3"
3246,surgery|general surgery postop issues|viscus perforation|bladder,"596.6, N32.89"
3247,surgery|thoracic surgery|uncontrolled pain- no epidural in place,
3248,transplant|s/p lung transplant|airway stenosis - lung transplant,"996.84, T86.819"
3249,burns/trauma|trauma- head and neck|traumatic ear amputation|right,872.10
3250,endocrine|fluids and electrolytes|hypercalcemia|due to malignancy,"275.42, E83.52"
3251,endocrine|fluids and electrolytes|hypomagnesemia|etiology unknown,"275.2, E83.42"
3252,endocrine|pituitary and temperature regulation|hyperprolactinemia,"253.1, E22.1"
3253,hematology|bleeding and red blood cell disorders|hemolysis|immune,"283.0, D59.9"
3254,infectious diseases|GI infections|intra-abdominal abscess|splenic,"289.59, D73.3"
3255,pulmonary|disorders of acid base|respiratory alkalosis|iatrogenic,"276.2, E87.2"
3256,renal|electrolyte imbalance|hyperkalemia|due to rapid transfusion,"276.7, E87.5"
3257,surgery|acute cardiac problems|hypertension|renal artery stenosis,"440.1, I70.1"
3258,surgery|cardiac surgery|pleural effusion|left|associated with CHF,"511.9, J91.8"
3259,surgery|infections|lower urinary tract infection|candida albicans,"595.9, N30.9"
3260,surgery|vascular surgery|hemorrhage|possible coagulopathy present,998.11
3261,burns/trauma|trauma - CNS|spinal cord injury|cauda equina syndrome,952.4
3262,burns/trauma|trauma - CNS|spinal cord injury|quadriplegia-complete,"344.00, G82.50"
3263,burns/trauma|trauma - chest|widened mediastinum|r/o aortic rupture,
