drugname,generic_name,pred_11,pred_12,all_pred_12,consistency_12,pred_13,pred_14,all_pred_14,consistency_14,pred_15,pred_16,all_pred_16,consistency_16,pred_17,pred_18,all_pred_18,consistency_18,pred_19,pred_20,all_pred_20,consistency_20
ACETAMINOPHEN 650 MG RE SUPP,acetaminophen,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0
DOCUSATE SODIUM,docusate,docusate sodium would be classified as,docusate sodium would be classified as,"['docusate', 'docusate sodium would be classified as', 'docusate sodium would be classified as', 'docusate sodium would be classified as', 'docusate sodium would be classified as']",0.8,docusate sodium would be classified as,docusate sodium would be classified as,"['docusate sodium would be classified as', 'docusate sodium would be classified as', 'docusate sodium would be classified as', 'docusate sodium would be classified as', 'docusate sodium would be classified as']",1.0,docusate,docusate,"['docusate', 'docusate', 'docusate', 'docusate', 'docusate']",1.0,docusate,docusate,"['docusate', 'docusate', 'docusate', 'docusate', 'docusate']",1.0,docusate,docusate,"['docusate', 'docusate', 'docusate', 'docusate', 'docusate']",1.0
potassium CHLORIDE 10 mEq i,potassium chloride,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0
OXYCODONE IR,oxycodone,oxycodone,oxycodone,"['oxycodone', 'oxycodone', 'oxycodone', 'oxycodone', 'oxycodone']",1.0,oxycodone,oxycodone,"['oxycodone', 'oxycodone', 'oxycodone', 'oxycodone', 'oxycodone']",1.0,oxycodone,oxycodone,"['oxycodone', 'oxycodone', 'oxycodone', 'oxycodone', 'oxycodone']",1.0,oxycodone,oxycodone,"['oxycodone', 'oxycodone', 'oxycodone', 'oxycodone', 'oxycodone']",1.0,oxycodone,oxycodone,"['oxycodone', 'oxycodone', 'oxycodone', 'oxycodone', 'oxycodone']",1.0
magnesium sulfate,magnesium sulfate,magnesium,magnesium,"['magnesium', 'magnesium', 'magnesium', 'magnesium', 'magnesium']",1.0,magnesium sulfate -> magnesium sulfate  the generic,magnesium sulfate -> magnesium sulfate  the generic,"['magnesium sulfate -> magnesium sulfate  the generic', 'magnesium sulfate -> magnesium sulfate', 'magnesium sulfate -> magnesium sulfate  the generic', 'magnesium sulfate -> magnesium sulfate', 'magnesium sulfate -> magnesium sulfate  the generic']",0.6,magnesium sulfate -> magnesium sulfate,magnesium sulfate -> magnesium sulfate,"['magnesium sulfate -> magnesium sulfate', 'magnesium sulfate -> magnesium sulfate  the generic', 'magnesium sulfate -> magnesium sulfate', 'magnesium sulfate -> magnesium sulfate', 'magnesium sulfate -> magnesium sulfate']",0.8,magnesium sulfate -> magnesium sulfate  the generic,magnesium sulfate -> magnesium sulfate,"['magnesium sulfate -> magnesium sulfate', 'magnesium sulfate -> magnesium sulfate', 'magnesium sulfate -> magnesium sulfate', 'magnesium sulfate -> magnesium sulfate', 'magnesium sulfate -> magnesium sulfate  the generic']",0.8,magnesium sulfate,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0
FUROSEMIDE 10 MG/1 ML 2ML SDV INJ,furosemide,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0
ZOSYN,piperacillin-tazobactam,piperacillin/tazobact,piperacillin/tazobact,"['piperacillin/tazobact', 'piperacillin/tazobact', 'piperacillin/tazobact', 'piperacillin/tazobact', 'piperacillin/tazobact']",1.0,piperacillin/tazobact,piperacillin/tazobact,"['piperacillin/tazobact', 'piperacillin/tazobact', 'piperacillin/tazobact', 'piperacillin/tazobact', 'piperacillin/tazobact']",1.0,piperacillin-tazobact,piperacillin-tazobact,"['piperacillin-tazobact', 'piperacillin-tazobact', 'piperacillin-tazobact', 'piperacillin-tazobact', 'piperacillin-tazobact']",1.0,piperacillin-tazobact,piperacillin-tazobact,"['piperacillin-tazobact', 'piperacillin-tazobact', 'piperacillin-tazobact', 'piperacillin-tazobact', 'piperacillin-tazobact']",1.0,piperacillin-tazobact,piperacillin-tazobact,"['piperacillin-tazobact', 'piperacillin-tazobact', 'piperacillin-tazobact', 'piperacillin-tazobact', 'piperacillin-tazobact']",1.0
Protonix,pantoprazole,pantoprazole,pantoprazole,"['pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole']",1.0,pantoprazole,pantoprazole,"['pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole']",1.0,pantoprazole,pantoprazole,"['pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole']",1.0,pantoprazole,pantoprazole,"['pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole']",1.0,pantoprazole,pantoprazole,"['pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole']",1.0
2 ML VIAL : FENTANYL CITRATE 0.05 MG/ML IJ SOLN,fentanyl,fentanyl,fentanyl,"['fentanyl', 'fentanyl', 'fentanyl', 'fentanyl', 'fentanyl']",1.0,fentanyl,fentanyl,"['fentanyl', 'fentanyl', 'fentanyl', 'fentanyl', 'fentanyl']",1.0,fentanyl,fentanyl,"['fentanyl', 'fentanyl', 'fentanyl', 'fentanyl', 'fentanyl']",1.0,fentanyl,fentanyl,"['fentanyl', 'fentanyl', 'fentanyl', 'fentanyl', 'fentanyl']",1.0,fentanyl,fentanyl,"['fentanyl', 'fentanyl', 'fentanyl', 'fentanyl', 'fentanyl']",1.0
LORazepam 2 MG/1 ML 1 ML INJ,lorazepam,lorazepam,lorazepam,"['lorazepam', 'lorazepam', 'lorazepam', 'lorazepam', 'lorazepam']",1.0,lorazepam,lorazepam,"['lorazepam', 'lorazepam', 'lorazepam', 'lorazepam', 'lorazepam']",1.0,lorazepam,lorazepam,"['lorazepam', 'lorazepam', 'lorazepam', 'lorazepam', 'lorazepam']",1.0,lorazepam,lorazepam,"['lorazepam', 'lorazepam', 'lorazepam', 'lorazepam', 'lorazepam']",1.0,lorazepam,lorazepam,"['lorazepam', 'lorazepam', 'lorazepam', 'lorazepam', 'lorazepam']",1.0
INSULIN LISPRO,insulin lispro,insulin lispro -> lispro,insulin lispro,"['insulin lispro', 'insulin lispro', 'insulin lispro -> lispro is a', 'insulin lispro', 'insulin lispro']",0.8,insulin lispro,insulin lispro,"['insulin lispro', 'insulin lispro', 'insulin lispro', 'insulin lispro', 'insulin lispro']",1.0,insulin lispro -> lispro is a,insulin lispro -> lispro is a,"['insulin lispro -> lispro is a', 'insulin lispro -> lispro is a', 'insulin lispro -> lispro is a', 'insulin lispro -> lispro is a', 'insulin lispro -> lispro is a']",1.0,insulin lispro -> lispro is a,insulin lispro -> lispro is a,"['insulin lispro -> lispro is a', 'insulin lispro -> lispro is a', 'insulin lispro -> lispro is a', 'insulin lispro -> lispro is a', 'insulin lispro -> lispro is a']",1.0,insulin lispro,insulin lispro,"['insulin lispro', 'insulin lispro', 'insulin lispro', 'insulin lispro', 'insulin lispro']",1.0
ENOXAPARIN SODIUM 40 MG/0.4ML SC SOLN,enoxaparin,enoxaparin,enoxaparin,"['enoxaparin', 'enoxaparin', 'enoxaparin', 'enoxaparin', 'enoxaparin']",1.0,enoxaparin,enoxaparin,"['enoxaparin', 'enoxaparin', 'enoxaparin', 'enoxaparin sodium', 'enoxaparin sodium']",0.6,enoxaparin,enoxaparin,"['enoxaparin', 'enoxaparin', 'enoxaparin', 'enoxaparin', 'enoxaparin']",1.0,enoxaparin,enoxaparin,"['enoxaparin', 'enoxaparin', 'enoxaparin', 'enoxaparin', 'enoxaparin']",1.0,enoxaparin,enoxaparin,"['enoxaparin', 'enoxaparin', 'enoxaparin', 'enoxaparin', 'enoxaparin']",1.0
POTASSIUM CHLORIDE ER,potassium chloride,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0
OXYCODONE-ACETAMINOPHEN 5-325 MG PO TABS,acetaminophen / oxycodone,oxycodone-acetaminoph,oxycodone-acetaminoph,"['oxycodone-acetaminoph', 'oxycodone-acetaminoph', 'oxycodone-acetaminoph', 'oxycodone-acetaminoph', 'oxycodone-acetaminoph']",1.0,oxycodone-acetaminoph,oxycodone-acetaminoph,"['oxycodone-acetaminoph', 'oxycodone-acetaminoph', 'oxycodone-acetaminoph', 'oxycodone-acetaminoph', 'oxycodone-acetaminoph']",1.0,oxycodone-acetaminoph,oxycodone-acetaminoph,"['oxycodone-acetaminoph', 'oxycodone-acetaminoph', 'oxycodone-acetaminoph', 'oxycodone-acetaminoph', 'oxycodone-acetaminoph']",1.0,oxycodone-acetaminoph,oxycodone-acetaminoph,"['oxycodone-acetaminoph', 'oxycodone-acetaminoph', 'oxycodone-acetaminoph', 'oxycodone-acetaminoph', 'oxycodone-acetaminoph']",1.0,oxycodone-acetaminoph,oxycodone-acetaminoph,"['oxycodone-acetaminoph', 'oxycodone-acetaminoph', 'oxycodone-acetaminoph', 'oxycodone-acetaminoph', 'oxycodone-acetaminoph']",1.0
ASPIRIN,aspirin,aspirin,aspirin,"['aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin']",1.0,aspirin,aspirin,"['aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin']",1.0,aspirin,aspirin,"['aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin']",1.0,aspirin,aspirin,"['aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin']",1.0,aspirin,aspirin,"['aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin']",1.0
ONDANSETRON HCL (PF) 4 MG/2 ML INJECTION 2 ML VIAL,ondansetron,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0
BISACODYL 10 MG RECT SUPP,bisacodyl,bisacodyl,bisacodyl,"['bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl']",1.0,bisacodyl,bisacodyl,"['bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl']",1.0,bisacodyl,bisacodyl,"['bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl']",1.0,bisacodyl,bisacodyl,"['bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl']",1.0,bisacodyl,bisacodyl,"['bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl', 'bisacodyl']",1.0
FAMOTIDINE 20 MG TAB,famotidine,famotidine,famotidine,"['famotidine', 'famotidine', 'famotidine', 'famotidine', 'famotidine']",1.0,famotidine,famotidine,"['famotidine', 'famotidine', 'famotidine', 'famotidine', 'famotidine']",1.0,famotidine,famotidine,"['famotidine', 'famotidine', 'famotidine', 'famotidine', 'famotidine']",1.0,famotidine,famotidine,"['famotidine', 'famotidine', 'famotidine', 'famotidine', 'famotidine']",1.0,famotidine,famotidine,"['famotidine', 'famotidine', 'famotidine', 'famotidine', 'famotidine']",1.0
WARFARIN,warfarin,warfarin,warfarin,"['warfarin', 'warfarin', 'warfarin', 'warfarin', 'warfarin']",1.0,warfarin,warfarin,"['warfarin', 'warfarin', 'warfarin', 'warfarin', 'warfarin']",1.0,warfarin,warfarin,"['warfarin', 'warfarin', 'warfarin', 'warfarin', 'warfarin']",1.0,warfarin,warfarin,"['warfarin', 'warfarin', 'warfarin', 'warfarin', 'warfarin']",1.0,warfarin,warfarin,"['warfarin', 'warfarin', 'warfarin', 'warfarin', 'warfarin']",1.0
DUONEB 3 MG-0.5 MG/3 ML UD INH SOLN,albuterol 0.833 mg/ml / ipratropium 0.167 mg/ml,ipratropium/albuterol,ipratropium/albuterol,"['ipratropium/albuterol', 'ipratropium/albuterol', 'ipratropium/albuterol', 'ipratropium/albuterol', 'ipratropium/albuterol']",1.0,ipratropium-albuterol,ipratropium-albuterol,"['ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium/albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol']",0.8,ipratropium-albuterol,ipratropium-albuterol,"['ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol']",1.0,ipratropium-albuterol,ipratropium-albuterol,"['ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol']",1.0,ipratropium-albuterol,ipratropium-albuterol,"['ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol', 'ipratropium-albuterol']",1.0
10 ML - INSULIN GLARGINE 100 UNIT/ML SC SOLN,insulin glargine,insulin glargine,insulin glargine,"['insulin glargine', 'insulin glargine', 'insulin glargine', 'insulin glargine', 'insulin glargine']",1.0,insulin glargine,insulin glargine,"['insulin glargine', 'insulin glargine', 'insulin glargine', 'insulin glargine', 'insulin glargine']",1.0,insulin glargine,insulin glargine,"['insulin glargine', 'insulin glargine', 'insulin glargine', 'insulin glargine', 'insulin glargine']",1.0,insulin glargine,insulin glargine,"['insulin glargine', 'insulin glargine', 'insulin glargine', 'insulin glargine', 'insulin glargine']",1.0,insulin glargine,insulin glargine,"['insulin glargine', 'insulin glargine', 'insulin glargine', 'insulin glargine', 'insulin glargine']",1.0
50 ML - ALBUMIN HUMAN 25 % IV SOLN,albumin 250 mg/ml,albumin human,albumin human,"['albumin human', 'albumin human', 'albumin human', 'albumin human', 'albumin human']",1.0,albumin human,albumin human,"['albumin human', 'albumin human', 'albumin human', 'albumin human', 'albumin human']",1.0,albumin human,albumin human,"['albumin human', 'albumin human', 'albumin human', 'albumin human', 'albumin human']",1.0,albumin human,albumin human,"['albumin human', 'albumin human', 'albumin human', 'albumin human', 'albumin human']",1.0,albumin human,albumin human,"['albumin human', 'albumin human', 'albumin human', 'albumin human', 'albumin human']",1.0
KLOR-CON,potassium chloride,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0
Tylenol,acetaminophen,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0
LANTUS,insulin glargine,insulin glargine,insulin glargine,"['insulin glargine', 'insulin glargine', 'insulin glargine', 'insulin glargine', 'insulin glargine']",1.0,insulin glargine,insulin glargine,"['insulin glargine', 'insulin glargine', 'insulin glargine', 'insulin glargine', 'insulin glargine']",1.0,insulin glargine,insulin glargine,"['insulin glargine', 'insulin glargine', 'insulin glargine', 'insulin glargine', 'insulin glargine']",1.0,insulin glargine,insulin glargine,"['insulin glargine', 'insulin glargine', 'insulin glargine', 'insulin glargine', 'insulin glargine']",1.0,insulin glargine,insulin glargine,"['insulin glargine', 'insulin glargine', 'insulin glargine', 'insulin glargine', 'insulin glargine']",1.0
potassium chloride,potassium chloride,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride -> potassium chloride,potassium chloride -> potassium chloride  final answer,"['potassium chloride -> potassium chloride  final answer', 'potassium chloride -> potassium chloride', 'potassium chloride -> potassium chloride  the generic', 'potassium chloride -> potassium chloride  final answer', 'potassium chloride -> potassium chloride  final answer']",0.6,potassium chloride -> potassium chloride  the generic,"['potassium chloride -> potassium chloride (no change', 'potassium chloride -> potassium chloride  the generic', 'potassium chloride -> potassium chloride (no change', 'potassium chloride -> potassium chloride  the generic', 'potassium chloride -> potassium chloride']",0.4,unsure,potassium chloride -> potassium chloride (no change,potassium chloride -> potassium chloride  the generic,"['potassium chloride -> potassium chloride (no change', 'potassium chloride -> potassium chloride  the generic', 'potassium chloride -> potassium chloride  the generic', 'potassium chloride -> potassium chloride (no change', 'potassium chloride -> potassium chloride  the generic']",0.6,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0
TYLENOL,acetaminophen,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0
chlorHEXIDINE (PERIOGARD) 0.12 % oral rinse 15 mL,chlorhexidine gluconate,chlorhexidine,chlorhexidine,"['chlorhexidine', 'chlorhexidine', 'chlorhexidine', 'chlorhexidine', 'chlorhexidine']",1.0,chlorhexidine,chlorhexidine,"['chlorhexidine', 'chlorhexidine', 'chlorhexidine', 'chlorhexidine', 'chlorhexidine']",1.0,chlorhexidine,chlorhexidine,"['chlorhexidine', 'chlorhexidine', 'chlorhexidine', 'chlorhexidine', 'chlorhexidine']",1.0,chlorhexidine,chlorhexidine,"['chlorhexidine', 'chlorhexidine', 'chlorhexidine', 'chlorhexidine', 'chlorhexidine']",1.0,chlorhexidine,chlorhexidine,"['chlorhexidine', 'chlorhexidine', 'chlorhexidine', 'chlorhexidine', 'chlorhexidine']",1.0
SODIUM CHLORIDE,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['the generic name of the drug is sodium', 'the generic name of the drug is sodium', 'sodium chloride', 'sodium chloride', 'sodium chloride']",0.6,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride -> sodium chloride (no change,sodium chloride -> sodium chloride (no change,"['sodium chloride', 'sodium chloride -> sodium chloride (no change', 'sodium chloride -> sodium chloride (no change', 'sodium chloride -> sodium chloride (no change', 'sodium chloride']",0.6,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0
VANCOCIN,vancomycin,vancomycin,vancomycin,"['vancomycin', 'vancomycin', 'vancomycin', 'vancomycin', 'vancomycin']",1.0,vancomycin,vancomycin,"['vancomycin', 'vancomycin', 'vancomycin', 'vancomycin', 'vancomycin']",1.0,vancomycin,vancomycin,"['vancomycin', 'vancomycin', 'vancomycin', 'vancomycin', 'vancomycin']",1.0,vancomycin,vancomycin,"['vancomycin', 'vancomycin', 'vancomycin', 'vancomycin', 'vancomycin']",1.0,vancomycin,vancomycin,"['vancomycin', 'vancomycin', 'vancomycin', 'vancomycin', 'vancomycin']",1.0
50 ML FLEX CONT : MAGNESIUM SULFATE 4% IJ SOLN,magnesium sulfate,magnesium sulfate,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0,magnesium sulfate,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0,magnesium sulfate,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0,magnesium sulfate,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0,magnesium sulfate,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0
1000 ML : SODIUM CHLORIDE 0.9 % 0.9 % IV SOLP,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0
4 ML VIAL : FUROSEMIDE 10 MG/ML IJ SOLN,furosemide,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0
3 ML VIAL : INSULIN REGULAR HUMAN 100 UNIT/ML IJ SOLN,insulin regular,insulin,insulin,"['insulin', 'insulin', 'insulin', 'insulin', 'insulin']",1.0,insulin,insulin,"['insulin', 'insulin', 'insulin', 'insulin', 'insulin']",1.0,insulin,"['insulin', 'insulin regular human', 'insulin regular', 'insulin regular human', 'insulin']",0.4,unsure,insulin regular human,insulin regular human,"['insulin regular human', 'insulin regular human', 'insulin regular human', 'insulin regular human', 'insulin regular human']",1.0,insulin human,insulin human,"['insulin human', 'insulin human', 'insulin human', 'insulin human', 'insulin human']",1.0
LOPRESSOR,metoprolol tartrate,metoprolol,metoprolol,"['metoprolol', 'metoprolol', 'metoprolol', 'metoprolol', 'metoprolol']",1.0,metoprolol,metoprolol,"['metoprolol', 'metoprolol', 'metoprolol', 'metoprolol', 'metoprolol']",1.0,metoprolol,metoprolol,"['metoprolol', 'metoprolol', 'metoprolol', 'metoprolol', 'metoprolol']",1.0,metoprolol,metoprolol,"['metoprolol', 'metoprolol', 'metoprolol', 'metoprolol', 'metoprolol']",1.0,metoprolol,metoprolol,"['metoprolol', 'metoprolol', 'metoprolol', 'metoprolol', 'metoprolol']",1.0
DEXTROSE 50% ABBOJECT,glucose 500 mg/ml,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0
MIDAZOLAM HCL,midazolam,midazolam,midazolam,"['midazolam', 'midazolam', 'midazolam', 'midazolam', 'midazolam']",1.0,midazolam,midazolam,"['midazolam', 'midazolam', 'midazolam', 'midazolam', 'midazolam']",1.0,midazolam,midazolam,"['midazolam', 'midazolam', 'midazolam', 'midazolam', 'midazolam']",1.0,midazolam,midazolam,"['midazolam', 'midazolam', 'midazolam', 'midazolam', 'midazolam']",1.0,midazolam,midazolam,"['midazolam', 'midazolam', 'midazolam', 'midazolam', 'midazolam']",1.0
hydrALAZINE 20 MG/1 ML 1 ML INJ,hydralazine,hydralazine,hydralazine,"['the generic name of the drug is hy', 'hydralazine', 'hydralazine', 'the generic name of the drug is hy', 'hydralazine']",0.6,hydralazine -> hydral,hydralazine,"['hydralazine', 'hydralazine', 'hydralazine', 'hydralazine', 'hydralazine']",1.0,hydralazine,hydralazine,"['hydralazine', 'hydralazine', 'hydralazine', 'hydralazine', 'hydralazine']",1.0,hydralazine,hydralazine,"['hydralazine', 'hydralazine', 'hydralazine', 'hydralazine', 'hydralazine']",1.0,hydralazine,hydralazine,"['hydralazine', 'hydralazine', 'hydralazine', 'hydralazine', 'hydralazine']",1.0
