drug,generic_name,pred_1,pred_2,all_pred_2,consistency_2,pred_3,pred_4,all_pred_4,consistency_4,pred_5,pred_6,all_pred_6,consistency_6,pred_7,pred_8,all_pred_8,consistency_8,pred_9,pred_10,all_pred_10,consistency_10
Dextrose 5%,glucose 50 mg/ml,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0
0.45% Sodium Chloride,sodium chloride 4.5 mg/ml,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0
TraMADOL (Ultram),tramadol,tramadol,tramadol,"['tramadol', 'tramadol', 'tramadol', 'tramadol', 'tramadol']",1.0,tramadol,tramadol,"['tramadol', 'tramadol', 'tramadol', 'tramadol', 'tramadol']",1.0,tramadol,tramadol,"['tramadol', 'tramadol', 'tramadol', 'tramadol', 'tramadol']",1.0,tramadol,tramadol,"['tramadol', 'tramadol', 'tramadol', 'tramadol', 'tramadol']",1.0,tramadol,tramadol,"['tramadol', 'tramadol', 'tramadol', 'tramadol', 'tramadol']",1.0
Ranitidine,ranitidine,ranitidine,ranitidine,"['ranitidine', 'ranitidine', 'ranitidine', 'ranitidine', 'ranitidine']",1.0,ranitidine,ranitidine,"['ranitidine', 'ranitidine', 'ranitidine', 'ranitidine', 'ranitidine']",1.0,ranitidine,ranitidine,"['ranitidine', 'ranitidine', 'ranitidine', 'ranitidine', 'ranitidine']",1.0,ranitidine,ranitidine,"['ranitidine', 'ranitidine', 'ranitidine', 'ranitidine', 'ranitidine']",1.0,ranitidine,ranitidine,"['ranitidine', 'ranitidine', 'ranitidine', 'ranitidine', 'ranitidine']",1.0
Lidocaine 5% Patch,lidocaine 0.05 mg/mg,lidocaine,lidocaine,"['lidocaine', 'lidocaine', 'lidocaine', 'lidocaine', 'lidocaine']",1.0,lidocaine,lidocaine,"['lidocaine', 'lidocaine', 'lidocaine', 'lidocaine', 'lidocaine']",1.0,lidocaine,lidocaine,"['lidocaine', 'lidocaine', 'lidocaine', 'lidocaine', 'lidocaine']",1.0,lidocaine,lidocaine,"['lidocaine', 'lidocaine', 'lidocaine', 'lidocaine', 'lidocaine']",1.0,lidocaine,lidocaine,"['lidocaine', 'lidocaine', 'lidocaine', 'lidocaine', 'lidocaine']",1.0
Albuterol Inhaler,albuterol,albuterol,albuterol,"['albuterol', 'albuterol', 'albuterol', 'albuterol', 'albuterol']",1.0,albuterol,albuterol,"['albuterol', 'albuterol', 'albuterol', 'albuterol', 'albuterol']",1.0,albuterol,albuterol,"['albuterol', 'albuterol', 'albuterol', 'albuterol', 'albuterol']",1.0,albuterol,albuterol,"['albuterol', 'albuterol', 'albuterol', 'albuterol', 'albuterol']",1.0,albuterol,albuterol,"['albuterol', 'albuterol', 'albuterol', 'albuterol', 'albuterol']",1.0
Tacrolimus,tacrolimus,tacrolimus,tacrolimus,"['tacrolimus', 'tacrolimus', 'tacrolimus', 'tacrolimus', 'tacrolimus']",1.0,tacrolimus,tacrolimus,"['tacrolimus', 'tacrolimus', 'tacrolimus', 'tacrolimus', 'tacrolimus']",1.0,tacrolimus,tacrolimus,"['tacrolimus', 'tacrolimus', 'tacrolimus', 'tacrolimus', 'tacrolimus']",1.0,tacrolimus,tacrolimus,"['tacrolimus', 'tacrolimus', 'tacrolimus', 'tacrolimus', 'tacrolimus']",1.0,tacrolimus,tacrolimus,"['tacrolimus', 'tacrolimus', 'tacrolimus', 'tacrolimus', 'tacrolimus']",1.0
Heparin Flush (10 units/ml),heparin,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0
Potassium Chloride,potassium chloride,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride -> potassium chloride (no change,"['potassium chloride -> potassium chloride (no change', 'potassium chloride', 'potassium chloride -> potassium chloride  the generic', 'potassium chloride -> potassium chloride (no change', 'potassium chloride -> potassium chloride (no change']",0.6,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0
Acetaminophen,acetaminophen,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0
Famotidine,famotidine,famotidine,famotidine,"['famotidine', 'famotidine', 'famotidine', 'famotidine', 'famotidine']",1.0,famotidine,famotidine,"['famotidine', 'famotidine', 'famotidine', 'famotidine', 'famotidine']",1.0,famotidine,famotidine,"['famotidine', 'famotidine', 'famotidine', 'famotidine', 'famotidine']",1.0,famotidine,famotidine,"['famotidine', 'famotidine', 'famotidine', 'famotidine', 'famotidine']",1.0,famotidine,famotidine,"['famotidine', 'famotidine', 'famotidine', 'famotidine', 'famotidine']",1.0
Metoclopramide,metoclopramide,metoclopramide,metoclopramide,"['metoclopramide', 'metoclopramide', 'metoclopramide', 'metoclopramide', 'metoclopramide']",1.0,metoclopramide,metoclopramide,"['metoclopramide', 'metoclopramide', 'metoclopramide', 'metoclopramide', 'metoclopramide']",1.0,metoclopramide,metoclopramide,"['metoclopramide', 'metoclopramide', 'metoclopramide', 'metoclopramide', 'metoclopramide']",1.0,metoclopramide,metoclopramide,"['metoclopramide', 'metoclopramide', 'metoclopramide', 'metoclopramide', 'metoclopramide']",1.0,metoclopramide,metoclopramide,"['metoclopramide', 'metoclopramide', 'metoclopramide', 'metoclopramide', 'metoclopramide']",1.0
Nitroglycerin,nitroglycerin,nitroglycerin,nitroglycerin,"['nitroglycerin', 'nitroglycerin', 'nitroglycerin', 'nitroglycerin', 'nitroglycerin']",1.0,nitroglycerin,nitroglycerin,"['nitroglycerin', 'nitroglycerin', 'nitroglycerin', 'nitroglycerin', 'nitroglycerin']",1.0,nitroglycerin,nitroglycerin,"['nitroglycerin', 'nitroglycerin', 'nitroglycerin', 'nitroglycerin', 'nitroglycerin']",1.0,nitroglycerin,nitroglycerin,"['nitroglycerin', 'nitroglycerin', 'nitroglycerin', 'nitroglycerin', 'nitroglycerin']",1.0,nitroglycerin,nitroglycerin,"['nitroglycerin', 'nitroglycerin', 'nitroglycerin', 'nitroglycerin', 'nitroglycerin']",1.0
Vitamin D,vitamin d,cholecalciferol,cholecalciferol,"['cholecalciferol', 'cholecalciferol', 'cholecalciferol', 'cholecalciferol', 'cholecalciferol']",1.0,the generic name of the drug is:,the generic name of the drug is:,"['the generic name of the drug is:', 'the generic name is cholecalcifer', 'the generic name is cholecalcifer', 'the generic name of the drug is:', 'the generic name of the drug is:']",0.6,vitamin d,vitamin d,"['vitamin d', 'vitamin d', 'vitamin d', 'vitamin d', 'vitamin d']",1.0,vitamin d,vitamin d,"['vitamin d', 'vitamin d', 'vitamin d', 'vitamin d', 'vitamin d']",1.0,cholecalciferol,cholecalciferol,"['cholecalciferol', 'cholecalciferol', 'cholecalciferol', 'cholecalciferol', 'cholecalciferol']",1.0
Insulin Human Regular,insulin,insulin,insulin,"['insulin', 'insulin', 'insulin', 'insulin', 'insulin']",1.0,insulin,insulin,"['insulin', 'insulin', 'insulin', 'insulin', 'insulin']",1.0,insulin,insulin,"['insulin', 'insulin', 'insulin', 'insulin', 'insulin']",1.0,insulin,insulin,"['insulin human regular -> human insulin', 'insulin', 'insulin', 'insulin human regular -> human insulin', 'insulin']",0.6,insulin human,insulin human,"['insulin human', 'insulin human', 'insulin human', 'insulin human', 'insulin human']",1.0
NS,sodium chloride 9 mg/ml,ns,ns,"['ns', 'ns  the generic name is sodium chloride', 'ns', 'ns', 'ns']",0.8,the generic name of the drug is nas,the generic name of the drug is nas,"['the generic name is nasalcrom.', 'the generic name of the drug is nas', 'the generic name of the drug is nas', 'the generic name of the drug is nas', 'the generic name of the drug is nas']",0.8,the generic name of the drug is nors,the generic name of the drug is nors,"['the generic name of the drug is nors', 'the generic name of the drug is nors', 'the generic name of the drug is nors', 'the generic name of the drug is nors', 'the generic name of the drug is nors']",1.0,the generic name of the drug is nors,the generic name of the drug is nors,"['the generic name of the drug is nors', 'the generic name of the drug is nors', 'the generic name of the drug is nors', 'the generic name of the drug is nors', 'the generic name of the drug is nors']",1.0,"sodium   (note: the input ""[ns","sodium   (note: the input ""[ns","['sodium   (note: the input ""[ns', 'sodium', 'sodium   (note: the input ""[ns', 'sodium   (note: the input ""[ns', 'sodium   let me know if you have']",0.6
Furosemide,furosemide,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0
Potassium Chloride,potassium chloride,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride -> potassium chloride  the generic,potassium chloride -> potassium chloride (no change,"['potassium chloride -> potassium chloride (no change', 'potassium chloride -> potassium chloride (no change', 'potassium chloride', 'potassium chloride -> potassium chloride  the generic', 'potassium chloride -> potassium chloride (no change']",0.6,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0
Morphine Sulfate,morphine sulfate,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0
Aspirin EC,aspirin,aspirin,aspirin,"['aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin']",1.0,aspirin,aspirin,"['aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin']",1.0,aspirin,aspirin,"['aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin']",1.0,aspirin,aspirin,"['aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin']",1.0,aspirin,aspirin,"['aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin']",1.0
Calcium Gluconate,calcium gluconate,calcium gluconate -> calcium glucon,calcium gluconate -> calcium glucon,"['calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon']",1.0,calcium gluconate,calcium gluconate -> calcium glucon,"['calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon']",1.0,calcium gluconate -> calcium glucon,calcium gluconate -> calcium glucon,"['calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon', 'calcium gluconate -> calcium glucon']",1.0,calcium gluconate -> calcium glucon,calcium gluconate,"['calcium gluconate', 'calcium gluconate', 'calcium gluconate', 'calcium gluconate', 'calcium gluconate -> calcium glucon']",0.8,calcium gluconate,calcium gluconate,"['calcium gluconate', 'calcium gluconate', 'calcium gluconate', 'calcium gluconate', 'calcium gluconate']",1.0
Atorvastatin,atorvastatin,atorvastatin,atorvastatin,"['atorvastatin', 'atorvastatin', 'atorvastatin', 'atorvastatin', 'atorvastatin']",1.0,atorvastatin,atorvastatin,"['atorvastatin', 'atorvastatin', 'atorvastatin', 'atorvastatin', 'atorvastatin']",1.0,atorvastatin,atorvastatin,"['atorvastatin', 'atorvastatin', 'atorvastatin', 'atorvastatin', 'atorvastatin']",1.0,atorvastatin,atorvastatin,"['atorvastatin', 'atorvastatin', 'atorvastatin', 'atorvastatin', 'atorvastatin']",1.0,atorvastatin,atorvastatin,"['atorvastatin', 'atorvastatin', 'atorvastatin', 'atorvastatin', 'atorvastatin']",1.0
5% Dextrose,glucose 50 mg/ml,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0
Thiamine,thiamine,thiamine,thiamine,"['thiamine', 'thiamine', 'thiamine', 'thiamine', 'thiamine']",1.0,thiamine,thiamine,"['thiamine', 'thiamine', 'thiamine', 'thiamine', 'thiamine']",1.0,thiamine,thiamine,"['thiamine', 'thiamine', 'thiamine', 'thiamine', 'thiamine']",1.0,thiamine,thiamine,"['thiamine', 'thiamine', 'thiamine', 'thiamine', 'thiamine']",1.0,thiamine,thiamine,"['thiamine', 'thiamine', 'thiamine', 'thiamine', 'thiamine']",1.0
Vitamin D,vitamin d,cholecalciferol,cholecalciferol,"['cholecalciferol', 'cholecalciferol', 'cholecalciferol', 'cholecalciferol', 'cholecalciferol']",1.0,the generic name is cholecalcifer,the generic name is cholecalcifer,"['the generic name is cholecalcifer', 'the generic name is cholecalcifer', 'the generic name is cholecalcifer', 'the generic name of the drug is:', 'the generic name of the drug is:']",0.6,vitamin d,vitamin d,"['vitamin d', 'vitamin d', 'vitamin d', 'vitamin d', 'vitamin d']",1.0,vitamin d,vitamin d,"['vitamin d', 'vitamin d', 'vitamin d', 'vitamin d', 'vitamin d']",1.0,cholecalciferol,cholecalciferol,"['cholecalciferol', 'cholecalciferol', 'cholecalciferol', 'cholecalciferol', 'cholecalciferol']",1.0
Acetaminophen,acetaminophen,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0
Fentanyl Citrate,fentanyl,fentanyl,fentanyl,"['fentanyl', 'fentanyl', 'fentanyl', 'fentanyl', 'fentanyl']",1.0,fentanyl,fentanyl,"['fentanyl', 'fentanyl', 'fentanyl', 'fentanyl', 'fentanyl']",1.0,fentanyl,fentanyl,"['fentanyl', 'fentanyl', 'fentanyl', 'fentanyl', 'fentanyl']",1.0,fentanyl,fentanyl,"['fentanyl', 'fentanyl', 'fentanyl', 'fentanyl', 'fentanyl']",1.0,fentanyl,fentanyl,"['fentanyl', 'fentanyl', 'fentanyl', 'fentanyl', 'fentanyl']",1.0
Pantoprazole,pantoprazole,pantoprazole,pantoprazole,"['pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole']",1.0,pantoprazole,pantoprazole,"['pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole']",1.0,pantoprazole,pantoprazole,"['pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole']",1.0,pantoprazole,pantoprazole,"['pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole']",1.0,pantoprazole,pantoprazole,"['pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole', 'pantoprazole']",1.0
HYDROmorphone (Dilaudid),hydromorphone,hydrocodone,hydrocodone,"['hydrocodone', 'hydrocodone', 'hydrocodone', 'hydrocodone', 'hydrocodone']",1.0,hydrocodone is not present in the,hydrocodone is not present in the,"['hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the']",1.0,hydrocodone,hydrocodone,"['hydrocodone', 'hydrocodone', 'hydrocodone', 'hydrocodone', 'hydrocodone']",1.0,hydrocodone -> hydrocodone,hydrocodone -> hydrocodone,"['hydrocodone -> hydrocodone', 'hydrocodone -> hydrocodone', 'hydrocodone -> hydrocodone', 'hydrocodone -> hydrocodone', 'hydrocodone -> hydrocodone']",1.0,hydrocodone is not present in the,hydrocodone is not present in the,"['hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the', 'hydrocodone is not present in the']",1.0
Morphine Sulfate,morphine sulfate,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0,morphine,morphine,"['morphine', 'morphine', 'morphine', 'morphine', 'morphine']",1.0
Acetaminophen,acetaminophen,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0
HydrALAzine,hydralazine,hydralazine would be classified as,hydralazine would be classified as,"['hydralazine would be classified as', 'hydralazine would be classified as', 'hydralazine -> hydral', 'hydralazine would be classified as', 'hydralazine -> hydral']",0.6,hydralazine,hydralazine,"['hydralazine', 'hydralazine', 'hydralazine', 'hydralazine', 'hydralazine']",1.0,hydralazine,hydralazine,"['hydralazine', 'hydralazine', 'hydralazine', 'hydralazine', 'hydralazine']",1.0,hydralazine,hydralazine,"['hydralazine', 'hydralazine', 'hydralazine', 'hydralazine', 'hydralazine']",1.0,hydralazine,hydralazine,"['hydralazine', 'hydralazine', 'hydralazine', 'hydralazine', 'hydralazine']",1.0
Heparin Flush (10 units/ml),heparin,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0
Ferrous Sulfate,ferrous sulfate,ferrous sulfate would be classified as,ferrous sulfate would be classified as,"['ferrous sulfate would be classified as', 'ferrous sulfate would be classified as', 'ferrous sulfate would be classified as', 'ferrous sulfate would be classified as', 'ferrous sulfate would be classified as']",1.0,ferrous sulfate,ferrous sulfate,"['ferrous sulfate', 'ferrous sulfate', 'ferrous sulfate', 'ferrous sulfate', 'ferrous sulfate']",1.0,ferrous sulfate,ferrous sulfate,"['ferrous sulfate', 'ferrous sulfate', 'ferrous sulfate', 'ferrous sulfate', 'ferrous sulfate']",1.0,ferrous sulfate,ferrous sulfate,"['ferrous sulfate', 'ferrous sulfate', 'ferrous sulfate', 'ferrous sulfate', 'ferrous sulfate']",1.0,ferrous sulfate,ferrous sulfate,"['ferrous sulfate', 'ferrous sulfate', 'ferrous sulfate', 'ferrous sulfate', 'ferrous sulfate']",1.0
HydrALAZINE,hydralazine,hydralazine -> hydral,hydralazine -> hydral,"['hydralazine -> hydral', 'hydralazine -> hydral', 'hydralazine -> hydral', 'hydralazine -> hydral', 'hydralazine -> hydral']",1.0,hydralazine -> hydral,hydralazine -> hydral,"['hydralazine -> hydral', 'hydralazine -> hydral', 'hydralazine -> hydral', 'hydralazine -> hydral', 'hydralazine -> hydral']",1.0,hydralazine -> hydral,hydralazine -> hydral,"['hydralazine -> hydral', 'hydralazine -> hydral', 'hydralazine -> hydral', 'hydralazine -> hydral', 'hydralazine -> hydral']",1.0,hydralazine -> hydral,hydralazine -> hydral,"['hydralazine -> hydral', 'hydralazine -> hydral', 'hydralazine -> hydral', 'hydralazine -> hydral', 'hydralazine -> hydral']",1.0,hydralazine -> hydralazine,"['hydralazine -> hydralaz', 'hydralazine -> hydralazine', 'hydralazine -> hydral', 'hydralazine -> hydralazine', 'hydralazine -> hydral']",0.4,unsure
Docusate Sodium,docusate,docusate sodium -> docusate,docusate sodium -> docusate,"['docusate sodium -> docusate', 'docusate sodium -> docusate', 'docusate sodium -> docusate', 'docusate sodium -> docusate', 'docusate sodium -> docusate']",1.0,docusate sodium,docusate sodium,"['docusate sodium', 'docusate sodium', 'docusate sodium', 'docusate sodium', 'docusate sodium']",1.0,docusate sodium -> docusate,docusate sodium -> docusate,"['docusate sodium -> docusate', 'docusate sodium -> docusate', 'docusate sodium -> docusate', 'docusate sodium -> docusate', 'docusate sodium -> docusate']",1.0,docusate sodium -> docusate,docusate sodium -> docusate,"['docusate sodium', 'docusate sodium -> docusate', 'docusate sodium', 'docusate sodium -> docusate', 'docusate sodium -> docusate']",0.6,docusate,docusate,"['docusate', 'docusate', 'docusate', 'docusate', 'docusate']",1.0
5% Dextrose,glucose 50 mg/ml,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0
0.9% Sodium Chloride,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0
Ciprofloxacin IV,ciprofloxacin,ciprofloxacin,ciprofloxacin,"['ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin']",1.0,ciprofloxacin,ciprofloxacin,"['ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin']",1.0,ciprofloxacin,ciprofloxacin,"['ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin']",1.0,ciprofloxacin,ciprofloxacin,"['ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin']",1.0,ciprofloxacin,ciprofloxacin,"['ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin', 'ciprofloxacin']",1.0
Aspirin,aspirin,aspirin,aspirin,"['aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin']",1.0,aspirin,aspirin,"['aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin']",1.0,aspirin,aspirin,"['aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin']",1.0,aspirin,aspirin,"['aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin']",1.0,aspirin,aspirin,"['aspirin', 'aspirin', 'aspirin', 'aspirin', 'aspirin']",1.0
Furosemide,furosemide,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0,furosemide,furosemide,"['furosemide', 'furosemide', 'furosemide', 'furosemide', 'furosemide']",1.0
Heparin Dwell (1000 Units/mL),heparin,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0
